Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:
Interesting concept,"Small and cozy room for 2 people. Toilet was spacious. Bed was comfy, had a really nice sleep after shopping in town. Room service was fast too even though we called late at night. Due to safe distancing restrictions, please remember to reserve gym and pool slots early at level 10.",50,Jan-22,Undisclosed,1,0
Friendly stuff and good cabin,Good cabin and nice aircon. Great service from stuff and no problems for everything during check in. Was very pleased to being checking in to this hotel yotel. Would come again for any events for couples.,50,Jan-22,Undisclosed,1,0
Great service and comfortable stay!,"Was recommended by my friend and did thought of trying out to use for the rediscovery voucher. Stayed with my bf, overall enjoyed our stay. Comfortable and clean, food was good. Really worth the stay! ",40,Jan-22,Undisclosed,2,0
Yotel room comfort,"Had the best sleep in a while!. Great beds, superior comfort. Great scenic view and well maintained hotel amenities (gym and pool). Location was ok. Supplies were adequate for the duration of the stay. Keep it up, Yotel Singapore!  ",40,Jan-22,Undisclosed,1,0
Like a Prison Cell,"Very small rooms(14sqm) wihout a window, nested with bathroom. So the room is always moist. If you dont lift the bed, you can not move in the room. There is no closed wardrop. On the other hand, there is iron, iron desk, kettle, umbrella etc.",20,Jan-22,Travelled on business,10,4
Cool hotel,Comfortable and clean. Great location walking distance to many nice restaurants and shopping centres. The view was very nice from the room. Bed was comfortable and staff were friendly. Would go back again. ,50,Jan-22,Undisclosed,1,0
Value for money! Recommended,"This is the first time we have stayed here and thoroughly enjoyed it. Reasonable price, socially responsible, fantastic location. Staff really friendly and helpful. They were extremely accommodating and allowed us to check out late at 11:30am. The amenities were great. The room was small but wonderful, clean, and perfect to celebrate my husband’s birthday weekend. They even prepared a birthday card with their signatures and a bag of macaroons.",40,Jan-22,Travelled as a couple,74,31
great stay,great stay!!! bed was comfy the view is amazing ! cant wait to be back again because it’s definitely one of my favourite hotels now :) the bar is great too!! enjoyed the stay pretty muchhh! will definitely be back for more,50,Jan-22,Undisclosed,1,0
Staycation at Yotel,"Cool hotel, the room is small but cozy.  Cabin was clean and view was good Early check in was allowed. Staff was friendly and helpful. Location was good and value for money. Will be back again for another staycation. ",50,Feb-21,Undisclosed,1,0
RECCOMEND !,"Pros: Great location in orchard.  High floor & Nice New room.  Loved the full clear view from toilet.  Nice adjustable incline bed, great for tv.  Cons : pillows are too soft & no cottonbuds in room. policy checkin 3pm but checkout 11am, is far too early for me.  requested for a late checkout but only given to 11.30am instead. Disappointed.   Premium Queen Room :  Still a good night stay, will be back again, Recommend.",50,Jan-22,Undisclosed,4,0
Clean and Fancy Hotel,"Great hotel, very easy to find and in a good location. Love the design and aesthetic of the hotel. Got the higher floor room which was nice and the room came with a good view. Staff was helpful and polite.",50,Jan-22,Undisclosed,5,0
Good Stay,"It was at a good location, easily accessible to all the shopping malls, but was quite hard to find at the start. The room was comfortable and the amenities was good too. Bought food to eat, but had some difficulties as there was no table. But overall it was a good stay, and would visit again. ",40,Jan-22,Undisclosed,1,0
Great staycation spot!,"The hotel is a comfortable size, with great amenities around the area. You can get everything around you, which makes YOTEL Orchard a great place to stay at! Not only that, you get a decent sized room to rest in, and catch up on some of your shows! It's convenient to plug in your HDMI cable to your phone/iPad and catch Disney+ or Netflix on too. ",40,Jan-22,Undisclosed,1,0
Value: 9/10 Cleanliness: 10/10 Service: 8/10 Convenience: 9/10 Overall: 9/10,"Convenience: The location is very convenient as it is only about 5-6 minutes away from the MRT. However, it may be hard to find and some people may need to go the long way around. Carpark was not complimentary, so fellow drivers please consider.   Cleanliness: Not much watermarks, fingerprints and stains found on the room   Amenities: Didn’t really go down to utilise the gym or pool as both were next to the restaurant and not that big. Room size was cozy for 2 pax max if it was just the premium queen, however 3 or more would be slightly small  Overall: It was a great experience, perfect for couples or singles but not recommended for families",50,Jan-22,Undisclosed,1,0
Staycation for Parents,"Overall was a good experience, except that the bed was too soft for us. Good location for those who wants to be near the city but still get to enjoy the peace and quiet of the suburbs. Plenty of good food choices around the hotel.",50,Jan-22,Undisclosed,2,0
Yotel Orchard Singapore,It was a very fun experience for me and my friends! We really enjoyed our stay in Yotel. Price was very affordable which already includes breakfast. Staff were very friendly too!😊 Will surely recommend to family and friends👍👍,50,Jan-22,Undisclosed,1,0
Staycation,I only have with bed. It tend to slides at the end. I difficulty adjusting it. That it is the only problem. The rest is fantastic. The location of the hotel is good. There is many mall and eating place. Easy public transportation.,50,Jan-22,Undisclosed,1,0
"Ideal for ""ME"" time!","Decided to isolate while waiting for PCR test taken upon arrival. Just got off a turbulent 7ish hour flight, it was 2am-ish, tired, hungry...mind wasn't in the best condition. Therefore, really appreciated the comfort of the bed. The staff was very friendly, patient and empathetic. Location was perfect in terms of easy access to food and retail AND protection from the rain! I would definitely return! PS: Perfect place for ""ME time""!",50,Dec-21,Undisclosed,8,0
"Cozy, clean rooms, superb staff, nice view in a great location with lots of shopping and good eateries","Finally found a 3 bedder where we could spend some time with our teenage boy. We knew the room will be smaller than most hotels but thought to give it a try. A great surprise indeed. A swift and early check in at 9am by a very friendly and helpful female staff. Room is so well kept and clean, with everything you need. Super view from our room on the 27th floor. Will book soon for another family day :)",50,Jan-22,Undisclosed,48,46
Cool rooms and view of the city,"Everything was in order and smooth, managed to avoid the long check in queue. Easy to find the hotel, may be confusing for first timers. Wished there was late check out too, was still asleep at 11am. Otherwise service was good and efficient. ",40,Jan-22,Undisclosed,12,3
Great,"Fas check in. Staff was very friendly. Despite spilling drinks at the hotel lobby staff immediately called the housekeeper and said its okay , no worries. They noted is my husband birthday, they gave him a pack for macaron and wish him happy birthday. Didnt manage to get his name. Thank you for serving us!",40,Jan-22,Undisclosed,1,0
Good service,"Nice hotel, room was small though. Liked the toiletries. TV was big enough. The food was so-so. Cocktail and coffee were great. Breakfast was good but not buffet style. Did not go to the gym and swimming pool",40,Jan-22,Undisclosed,1,0
Excellent stay!,"Honestly, i had to clear my SRV but im glad i chose the right staycay to spend a night there. Location was easy to find as i took the bus there. I would go for another trip here and try out the facilities that did not booked for. Overall, it was a good day to getaway👏🏻",50,Jan-22,Undisclosed,1,0
Yotel review,"Nice funky hotel theme.  Healthy small bites breakfast Like the cocktails offer,  polite and helpful staff. Very central location,  very comfy high tech bed with enough pillows. Double blinds are good for diff purposes",40,Jan-22,Travelled on business,1,0
Wonderful Trip Overall,"Hotel's location is easy to find at Orchard Road area. Near to shopping centres, convenient stores and MRT station. Staffs are very polite, the corridor is nice and the room is quite ok for me. I did not have any breakfast or any dinner in hotel. Need to register beforehand to get into the swimming pool or gym. Swimming pool water is very cold and so windy such that my clothes fly away but luckily it did not fly so far. I used the Singapore Rediscover Voucher (SRV) to book hotel and overall is wonderful trip for myself.",50,Jan-22,Travelled solo,3,0
Excellent!,"It’s a last minute decision for staycation. The price is right, booked in the morning, check-in in the afternoon. The room is super clean and the BED IS SO COMFY ! I’m definitely gonna stay again! Keep up the good job, Yotel!",50,Dec-21,Undisclosed,10,2
Wonderful stay overall,"I stayed for one night. Good location at Orchard Road, near shopping centres, convenient stores and MRT stations. Staffs are polite and friendly plus the corridor and the room inside are great. Swimming pool is wonderful just that it is too cold and too windy and my clothes almost flew away. I did not have breakfast and dinner on there but is good overall.",50,Jan-22,Travelled solo,1,0
"Great location, room is not spacious. not vegan friendly.","1 great WiFi 2 great service & friendly staff 3 food options for breakfast are very limited 4 corners of room is a bit dusty 5 relatively quiet, good to rest & work inside the room. 6 the basic room can be a bit too small for 2 people. for 1 person, it is just okay 7 bed is comfortable, but bed sheets can be more cleaner with fresh out of the laundry smell. ",40,Jan-22,Undisclosed,2,0
A night stay at Yotel Singapore,"Hotel concept was cool. Cabin was clean, with basic necessities provided. Love for the bidet in the toilet. 2 shower heads, water temperature was easy to adjust. Has a lot of TV channels. Staffs that attended to us were friendly. ",40,Jan-22,Undisclosed,1,0
Very clean hotel,The hotel is very clean and the location is very convenient. I feel like the room is very small and the check out time is 11am and it too early. I hope that the hotel can change the check out time to 12pm instead of 11am. Thank you.,30,Jan-22,Undisclosed,1,0
3D2N weekday stay,"Easy to find, check in was fuss-free as I went there around 3.30pm. Although the room was quite small, but its comfortable enough for 1-2pax. Friendly staff and the pool was simple and nice. Went to their bar to have a drink and they have promos on weekdays.",50,Jan-22,Undisclosed,1,0
Singapore Discovery Voucher Staycation,"Overall good staycation experience, it is good for those persons whose just need a room to sleep, or suitable for family with kids, can book for their pool.  Suggestion : don't forget to bring along your iPad, laptop in case you need to surf the internet or watch YouTube.",40,Jan-22,Undisclosed,1,0
Best Vacation Ever,Great Vacation for a Short Staycation. Happy with the hotel service and staff. Although its a small room for 3 adults but the room is enough to move about and very cosy. Will definitely be back to staycation again. Hope to have complimentary parking for vehicle during the staycation.,50,Jan-22,Undisclosed,1,0
Returning guests & will keep returning,Very convenient location.  Live the futuristic look & feel.  Very clean & great customer service.  Not forgetting the friendly neighbourhood robots - Yoshi & Yolanda - who will deliver your requests to your room,50,Jan-22,Undisclosed,1,0
Excellent service,"Staff is so friendly accommodating and pleasant. Clean & beautiful hotel, in room & also lobby. But abit too small for family of 2 toddler. But would be great for couple. Location is perfect! Near shopping & food",50,Jan-22,Undisclosed,1,0
Average stay,"Average stay, had moths in the balcony and room was quite small. Bed was too soft that i felt like i was sinking in though the bed is adjustable. Cable TV channels were available and easy to javigate through channels. Friendly staff. Overall it was a average stay.",30,Jan-22,Undisclosed,1,0
Superb location and value for money,"The location is very convient as it is right besides Shaw House. Value for money with such good location. The room is very small though, for a couple it's pretty cozy. However there's a very strong moldy smell, blow right at us the moment we open the door. It takes some time to get used to the smell.",30,Jan-22,Undisclosed,7,0
Value-for-money experience,"The room had a decent view especially since it was very high up. It also felt spacious although it was small. The rainforest shower was therapeutic. We used the rediscover voucher which included room, facilities and free breakfasts, so overall, a very worth experience! ",40,Jan-22,Undisclosed,1,0
Exciting, I really love the design for the room with bunk... Even it's small but really looked stunning. The toilet design also very good looking like a 5-star & above hotel. The staff are so friendly & helpful. ,50,Jan-22,Undisclosed,2,0
Staycation at Yotel,"One of the best hotels located in Orchard area, good amenities. Stayed here for the 5th time and still loving this place. The staff were very friendly and check in/check out process was quick and fast.",50,Jan-22,Undisclosed,1,0
Great I recommend,It was great! It was close bye the stations and transportation which made life easier. The pool was great! overall I enjoyed the experience and the view. Also the gym is nice and room service was fast and nice ,50,Dec-21,Undisclosed,2,0
Staycation @ Yotel Orchard,Our first time stay at Yotel really amaze all of us. My boys were very excited upon check in the cabin...it was like outerspace. Thank you Yotel our 1 night stay there was awesome and the food was really nice.,50,Jan-22,Undisclosed,1,0
limited  Breakfast  selection,Please  have more variety  food for breakfast. Overall expectation  is generally  good even though  the room is small .Waiting time to check-in is fast.Staff is friendly. Location is good. Fantastic  view when you get to stay higher  floor.,40,Dec-21,Undisclosed,1,0
Great,The room was great for a solo staycay. Location was convenient. Staff were generally friendly. Would come back again for a staycation in the future. The price is alright for what you get. Would recommend.,40,Jan-22,Undisclosed,1,0
Yotel,Not bad stay but room was small. Breakfast is good too! I love the body gel smells very nice! Check in is very smooth too. But air con is not cold enough although we already adjusted to 21 degree celcius,50,Dec-21,Undisclosed,1,0
Better options elsewhere for sure,"Not a fan of writing reviews, but this 4-star hotel experience has really fallen so short that I feel it’s important for everyone who’s considering to stay in Yotel to know. It’s the worst hotel I’ve stayed in, comparable to a 2.5 star hotel service experience. Paid $300 for 1 night at Deluxe Room. The price surge is due to peak / festive booking. Breakfast for 2 pax is included. 31 Dec 2021 1. Check-in is stated at 3pm and we were given the room at 6.30pm. To make the wait “feel better”, we were given complimentary drinks voucher to wait at the cozy restaurant and bar. Around 6pm, I asked the reception if there will be a free room upgrade or at least late check out to be arranged. Did not expect a 4-star hotel staff to reply defensively. He said: We are sorry for your wait, but…",10,Dec-21,Undisclosed,4,0
"Good location, clean cabin","Great location at good price, clean place. The shower facilities were great. Room is a bit small but it has great channels, with HBO and etc. The bed is too soft, such that we sunk in them. But it’s cool that it can be adjusted. ",40,Dec-21,Undisclosed,1,0
Convenient for a short stay,"Great for a short stay however bed was too soft to keep sitting on. Will cause backaches if you aren't use to soft beds. However, service from the crew is great and everyone is ever ready to help and are very polite as well despite being on a busy weekend. ",40,Dec-21,Undisclosed,2,0
New year eve staycation,This was a booking for new year eve staycation. Sadly didnt see any fireworks from my level. Overall quite okay as the check in process was smooth. Check out was okay too. Room is clean too. Just that the room is small. And the location of the hotel requires a distance to walk from the mrt,30,Dec-21,Undisclosed,1,0
pleasant stay,"clean small room with functional layout. At heart of orchard. We like the bed is adjustable like hospital bed concept. However the bed abit too soft for our liking. Location is excellent, at the shopping belt of Orchard Road.",40,Dec-21,Undisclosed,7,0
"Good view, Bad Beds","Good views and full length window. Really soft and uneven beds. Need to prep to queue outside of hotel for the check in, and then wait once checked in for your rooms to be ready as they were disinfecting it.",40,Dec-21,Undisclosed,1,0
Staycation,"Room was very small, however bed was comfortable, Check in at 3plus on the eve of New Year, 31.12.21  At check in even though is a long queue but check in process was fast, staff that check us in was friendly and efficient. On the day of check out call the receptionist at 1025hrs to request a late check out but was denied, a lady answered the call mention the hotel is running 100% occupancy which I understand just need a bit of time, told her that I need some to pack so request maybe 30mins delay. She sound unhappy and mention that if check out later than 1130 will be charged she sounds threatening though, I'm a hotelier for a decade but we were trained  to speaks in a mannerly way towards our paying guest, If you were asking me if i were to stay here again, the answer was…",20,Dec-21,Travelled as a couple,7,6
Highly recommended,A lovely hotel with many friendly & helpful staff.  Especially Aaron who is assisting me with my check-in.  Great customer service!!  Good location with many shopping malls and restaurants around.  I would definitely come back and stay longer in my next visit.  ,50,Dec-21,Undisclosed,3,0
GREAT LOCATION,"Pros:  1) great location 2) very friendly and thoughtful staff (made a birthday card for my kid and gifted her with 3 macarons) 3) good shopping and food options very near hotel 4) very stable and good wifi  Cons : 1) cleanliness issue - curry stains on pillow case and disposal coffee cup 2) frayed linen - bed sheet and quilt cover  3) dusty room corners  4) bed and pillow too soft, though some people would like. It’s personal preference  5) no FOC parking for in house guests 6) room very very  tiny, though functional  7) no room service ( no worries as there are many 24 hour cafes near the hotel)",40,Dec-21,Travelled with family,157,51
LET DOWN BY ROBOTIC EXPERIENCE,Overall it is a great hotel stay experience except that the robotic experience is a complete failure as the robots are not working well.  There was a fire alarm during my stay but the staff handles the case professionally and there was an annoucement in the rooms as well as on tv saying that the fire alarm was false thus it soothes the nerves of the guests.,40,Dec-21,Undisclosed,1,0
1 night stay,"Enjoyable stay with great location. Suitable for my family of 3 as it has room with bunk bed. The queen size bed is adjustable and there are many TV channels.  They have robot services to bring in extra towel, bottled drinks etc but unfortunately we did not have chance to use as they were spoilt during these peak period. Overall is a good stay. ",40,Dec-21,Undisclosed,3,2
2021 birthday staycation,"Spending the staycation with your loves one is something most sweet and memorable. The stay was my Dec birthday celebration, we spent our 3day 2 nite is such a small cozy hotel and we enjoy it so much.",50,Dec-21,Undisclosed,1,0
Comfortable Hotel,The hotel room is clean n the bed is comfortable for sleep.   It us adjustable to suit your sitting and sleeping positions.  You can have a clear view of part of Orchard area when you are in the resting room.,40,Dec-21,Undisclosed,1,0
Comfortable stay,"Comfortable room although a little compact, staffs were friendly and nice!  Area was near restaurants and accessible to stores! convenient :-) didnt manage to go for swimming but will try that next time!",50,Dec-21,Undisclosed,1,0
Staycay,Yotel was great to staycay with family. Near central city. Walking distance to mall. Staff was friendly and helpful. Food was not halal. Parking need to pay. Room was great and clean. Pool was super windy in the morning. Thank you.,50,Dec-21,Undisclosed,2,0
2D1N Staycation in 2021,"Quiet and peaceful hotel, friendly staff, clean cabins, delicious food served. Good location in the heart of Orchard Road, easy self check out PCs to use & big room key drop off box, check in service could've improved.",40,Dec-21,Undisclosed,1,0
Xmas Staycay!,"Second staycay with Yotel Orchard. Pleasantly pleased with the complimentary early check in for all my three rooms. Got a higher level this time. =) Hmmm though they gave us a connecting room for 2 cabins, since it is at the end, it was warmer than usual. But overall it was a GREAT stay!",50,Dec-21,Undisclosed,6,0
Staycastion xmas,"I would definitely return if the price is right. No complants whatsoever and way better service than grand hyatt. Early check in, late check out, friendly staff, cool locale, ease of travel and an ample breakfast. ",50,Dec-21,Undisclosed,1,0
A short getaway in Yotel SG,"Overall hotel experience is excellent for staycation. Not sure is it due to covid that there is only one serving for the breakfast instead of buffet style. it is a pity that the two robot, Yolanda and Yoshi, are not working.",50,Dec-21,Undisclosed,3,0
Just an average staycation venue,"Not fantastic. Kept waking up in the middle of the night because of the noise from the bed when my husband turn. Breakfast choice is limited, only 3 to choose from and tasted average. Menu is the same on both days we stayed. No room service available, only takeout.  ",30,Dec-21,Undisclosed,2,0
Improve the breakfast,Overall is a good value hotel to stay.  The meal should improve and the TV equipment needs to service. Hotel service crews are helpful & efficient.  Room cleanliness is not good but reasonably acceptable.,30,Dec-21,Undisclosed,2,2
Highly recommended,"Good location, modern cool hotel concept. Young and friendly customer service. the room is cleaned and well maintained. Check in process is fast and easy despite I go thru the counter service. I will definitely be back and had already recommend my friends to give a try",50,Dec-21,Undisclosed,2,0
"Checking in takes too long, long queue","The queue to check in takes up toi much time, understand there are covid restrictions but process can be made easier and faster with two counters checking the IC and bookings, instead of only one counter.",30,Dec-21,Travelled with family,3,0
Very excellent crew at YOTEL,"I had a really enjoyable stay at Yotel on Christmas night. Even before the stay, I requested for a cake to be put in the fridge. Even though my request could not be fulfilled, Yotel staff was very responsive on email and explained why it could not be done. Really appreciate that. There was a long queue when I arrived during check-in, but queue management was extremely efficient. Registration was not limited to counters only, but there were proactive staff walking around to ease the pressure on the counters. Maybe self service kiosks can be used for check in? But I understand if there are limitations due to safety distance management.  My cabin's TV remote was spoilt, and I got a trchnician coming to fix and a replacement remote control in the end, all within 15min. Technician…",50,Dec-21,Undisclosed,2,0
:-),good n cool n futuristic hotel. view was amazing from 19th storey. they rlly made good use of all the space in the room and provided alot of amenities. although bed was too soft n i cldnt sleep peacefully at all ,40,Dec-21,Undisclosed,1,0
Value for money stay in the middle of town,"Room is just right for 2 pax max, but bed and pillows were too soft for my liking. The sliding mechanism of the bed causes the centre to sink in a little, and that made my sleep quite uncomfortable. Amenities were good, and staff friendly and efficient. ",30,Dec-21,Undisclosed,4,0
Yotel,"It was a pleasant stay. Got the room with the bunk bed and my kid love going up and down, Hotel Was in the heart of orchard and the price of daily stay reasonable. Hope in future halal breakfast option available. ",50,Dec-21,Undisclosed,1,0
Staycation at Yotel Singapore Orchard Road Hotel.,My friend and I have a nice stay at Yotel. The hotel situated near the busy Orchard Road. It easier to go to Orchard Road and the mrt station also quite near to access. We can enjoy ourselves and have a great walk to Orchard Road and can go back anytime to the hotel.,40,Dec-21,Undisclosed,1,0
Good stay,Housekeeping only cleans the room once every 4 days so be prepared if ure planning to stay there for a week or so. Love the bed. No in room dining service. Only 1 restaurant in hotel but have a lot of nearby places to eat at.,40,Dec-21,Undisclosed,1,0
affordable and value for money!,"One of the best staycations I've been to! Although my stay period was over the December holidays (peak period), the pricing was surprisingly affordable - Stay includes complimentary breakfast AND cocktails, and the facilities are available for use most of the time (you're required to book in advance) :) Breakfast was delicious and filling! Room is small and cosy, but may not be suitable for those who are used to/prefer bigger rooms. I love that the bed is adjustable, and the mattress and pillows are extremely soft!  10/10 would recommend! Will visit again next time :)",50,Dec-21,Undisclosed,1,0
Not a pleasant experience,"Check in took 45mins, requested for late check out to compensate but rejected. Reason they give is cause my room is still cleaning. Pay extra to get the room with view on the high floor but only got 24/30 floor which a building infront of my view. Room has dust on the edges of the wall and bottle water marks all over the side of the basin. They have adjustable beds, some people didn’t know that you just have to press and hold once, in the middle of the night someone spam the button and create so much noise. Because of the small room, if neighbouring room is using the toilet , the water pipe sounds can be heard in the middle of the night.",30,Dec-21,Undisclosed,1,0
Cool City Hotel,Clean and compact room which is well-designed with good use of space. Great service team. The location cannot be better in the middle of Orchard shopping belt with eateries opened till late in the vicinity. The food and drinks at Komyuniti are worthwhile trying with nice ambience.,40,Dec-21,Undisclosed,26,18
Great location and value for money,The location of the hotel is great with it being located near a few cafes that is open till the wee morning. The location being at orchard road is another good factor. The service of the staff is good. And the room is clean. Check in and check out is smooth. Though the bed is a bit too soft for my liking. But the bunk bed is comfortable for my kid,40,Dec-21,Undisclosed,1,0
Bad check in and check out,"2 hours of queueing standing with no Air-conditional, reached 2.45pm in lobby and only manage to got our hotel card by 4.45pm. Required for late check out and it is not allow due to hotel fully booked. Breakfast is not buffet style and limited choices. No complaint on the car park as we already know that there is no complimentary on the car park. ",10,Dec-21,Undisclosed,1,0
Family Staycation,"Booked 2 rooms with Queen+bunk bed+View for 3days 2nights stay. Rooms are clean, comfy bed but very crampy for family with young kids to stay in. Check out time too early at 11am & unable to extend at all. Overall had a great staycation there.",40,Dec-21,Undisclosed,1,0
4D3N. Wonderful stay!,"We booked the First Class King Junior Suite for 4D3N and it was really a pleasant stay. The room had a very nice layout and the view from the balcony was amazing (we stayed on the 30th floor). Room was very clean which is a big plus point but do note that there is only housekeeping for stays for more than 4 days (because of Covid). However, you can still request for change of towels, more coffee, etc. from the concierge and the cute robot will deliver it to your room. It did take awhile for the concierge to answer our calls but maybe there were busy. The gym was small but clean and it had the essential equipments.   Location is convenient, located just behind Shaw, so it's very convenient to get to the MRT station (sheltered all the way).  I would say the only downside is that I…",50,Dec-21,Undisclosed,5,4
Solo female stay - comfortable with a fabulous toilet view,"Enjoy some me time with a 2D1N stay. Picked this hotel as it was relatively new and location was good.  Kinda surprised the bathroom came with a full view of Orchard road at the back . Very interesting concept. Enjoyed the view , just that when you had to use the toilet / shower , you have to remember to draw the blinds else it would be free entertainment . Though I think the nearest tall Building is a tad too far to really see anything !   Had a queen size bed which was comfortable and it had up/ down buttons to lift the headrest part of the bed which was very useful !   Overall enjoyed the stay , just that I had to queue for an hour just to check In. Check out was a breeze though as majority of other guests just left the premise without doing the proper checking out !",50,Dec-21,Travelled solo,235,48
Excellent Yotel,The location is good!The room is super pretty and the view is beautiful. The bed is super comfortable and the head rest can be adjusted which is good!The staff there is super friendly and the check in is super fast and fuss free.Will definitely go again with my friends and family.,50,Dec-21,Undisclosed,1,0
Perfect short staycation,"The location is great, and convenient. Shopping and F&B is available right next to it. And the price is much more reasonable than those within the area. It also has great view.  However, the room is a bit compact. But nicely arranged.",50,Dec-21,Undisclosed,1,0
18-19 Dec,"Worth the money. Good location. Stayed on 25th floor. View to ION orchard obstructed by Shaw Towers. Hotel do not offer complimentary car parking, paid extra. Breakfast is local dishes. Room although sound prrof but door is not. Could hear other guest talking in the corridor.",40,Dec-21,Undisclosed,1,0
Only good if you’re spending time as a couple,"The highlight is definitely the bed, it feels as if you’re sleeping on a cloud albeit a little small for a platonic partner. The room itself also gives of a very clean and sleek feeling. Other than that there isn’t much to brag about. No upgrades to their in-room entertainment system even after a year. Even when it’s being touted as a high tech hotel.",30,Dec-21,Undisclosed,1,0
Annual Staycation with Parents,"Check-in was fast - we were able to check-in at 1.30pm instead of the usual 3pm. Despite being on a Friday afternoon, there isn't any snaking queues.   Cabin - Tried their First Class King Junior Suite and realised this was the real selling point of this staycation. My parents were surprised at how big and roomy the cabin was, especially when they compare it to the Premium Queen Cabin with Bunk. It comes with 2 balconies, one outside the shower, and the other outside the bedroom. The room also comes with a pull-out sofa bed. In all, the room can comfortably accommodate 3 adults.   Food - As our booking came with a $50 F&B credit which we can used at Komyuniti @ Level 10, we decided to use it for our dinner instead. Their Nasi Goreng Istimewa was splendid. Serving size wise, it…",50,Dec-21,Undisclosed,4,2
A pleasant stay,We have a pleasant stay in the hotel. My kids love the bunk bed and the swimming pool. Something new with bunk bed in the room . overall it is a good hotel. We are lives to come back and stay in the hotel again. My kid love the bunk bed and the environment too.,50,Dec-21,Travelled with family,4,0
"HouseKeeping once EVERY 4 DAYS !!! bad soundproof, water not consistent","Under the hotel policy, they only make up room once every 4 days. Parking is not complimentary. 6pm to 7am is $4 per entry. After which is $3 per hour, and $1.50 for every 30 minutes. Location is good, beside Shaw @ Orchard. Check in was fast. Deposit is $50.   Hotel has 8 lifts. Room has sewage smell, and some hooks not working. Room size is very small 14m2, the size of our budget hotel81 room size. Probably about 4m x 3.5m with a toilet inside. About half the room size of other 4*/5* hotels, such as half the size of Mandarin Orchard Deluxe room, Furama City Centre superior room, Village Bugis deluxe room, Hilton Deluxe room. After putting one 18inch luggage, probably you have difficulties walking.   Soundproof was not good. Can hear people showering in the middle at 3am. When…",20,Dec-21,Undisclosed,8538,415
3D2N staycation with family,"Overall a nice stay with my family. Location is perfect for family. Service is good and staff are friendly. Other than the size of the bedroom, everything is ok. Love the full glass window at the bathroom. ",40,Dec-21,Undisclosed,1,0
Great!!,"Very pleased with stay.  The hotel scores top in location and for the price, definitely value for money.  Check-in/out was a breeze.  Very pleased with the earlier check-in on that day.  Impressed by the optimal use of cabin space and the view from the toilet window was awesome. ",50,Dec-21,Undisclosed,2,0
Staycation,"Room small but feel comfort. Convenient location, easy access to shopping mall, mrt station and restaurants. Check in staff is friendly and helpful. Breakfast not much choice due to the situation but still acceptable.",30,Dec-21,Undisclosed,3,0
Staycation 3 nights stay Dec 2021,Booked 2 rooms for 3 nights staycation in December 2021. We were given connecting rooms for ease. Good location and clean. Price was good considering its location in Orchard. Counter staff was polite during check-in. ,40,Dec-21,Undisclosed,2,2
"Good Hotel, Great Location, Soured by check in expereince.","We came here as part of our 2 week long hotel hopping honeymoon. Our stay was a pleasant one but marred by the hour long check in experience. The staff were thoughtful and left us some goodies in the room that really touched our hearts though. Overall, wish the check in experience didn't start us off on the wrong foot.",40,Dec-21,Undisclosed,1,0
Great Hangout,Great place to hang out.Love the comfy bed. Good for couples and teenagers.not recommended for elderly as it is rather squeezy.Great view to see some parts of Singapore if you ever get the top floor. Just remember to close the blinds when using the bathroom.,40,Dec-21,Undisclosed,226,17
3D2N Staycay,"A very good first experience at Yotel Orchard! Staffs were all very friendly and extremely helpful! Hotel ambience was cool and rooms are nice and cosy, good view too. Also i like that its super near to Ion orchard, very convenient. A really pleasant stay at Yotel and I would not mind coming back again :)",50,Dec-21,Undisclosed,1,0
Low flexibility for amendment of stay,"The stay was for self-isolation on arrival. Not sure about the time for PCR test result to come out so booked two nights at first.  When trying to shorten (not cancel) the stay 1 day before the arrival, hotel informed full amount would be charged anyway. I know it is their policy but some other hotels may be better as I have stayed in a few which can arrange partial refund as complimentary. ",20,Dec-21,Undisclosed,1,0
Fantastic Staycay,"Staycation with mom and niece. Great location and easy access for mom who need help moving around. Room(clean!), staff, service, breakfast were great. My 10 year old niece loved the room, loved the pink lights and the comfy bunk bed.  Thanks, Yotel, for giving us a  nice vacation when it’s currently so hard to travel.",50,Dec-21,Travelled with family,4,0
Just right for my family. Another wonderful experience for a repeat stay.,"Great place to stay in, especially for staycation. Smacked right at the heart of Orchard Road, very convienient. Although the room is small, my family and myself do not feel clusterphobic. Very clean, and rest assured Yotel team take effort to ensure hygiene and cleaniness; e.g. plastic wrapped TV remote, provide individual hygiene pack, which include a small bottle of sanitizer. This is our second stay, and my kids would like to come again during their next school holiday.  ",50,Dec-21,Undisclosed,1,0
Hotel Experience in Orchard,"A memorable staycation due to the unique rooms, attractive feature of robot service and ideal location. The programs on TV were also informative and helpful. The service personnel were also competent and professional. ",50,Dec-21,Undisclosed,1,0
Comfy stay,"Comfy stay with great breakfast choices. The reclining bed is a good one. Accessible from the bus stop and MRT. near the shopping belt. Great service from the staff and crew too. Clean hotel, although the wait for check in was a little long.",50,Dec-21,Undisclosed,1,0
Yotel Orchard,"The bed is uncomfortable, too high therefore it is difficult to get up the bed. Check-in is relatively fast and smooth with the help of friendly reception.  Breakfast is good.  Overall it is still quite acceptable. ",30,Dec-21,Undisclosed,1,0
