Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:
First time in Singapore,"Tristan at reception was a nice guy, room was small with a large bed but with a good view out of the window, everything was clean and tidy. Good location, planty of shopping and dinning places around.",50,Sep-22,Travelled as a couple,304,101
Pleasant Stay in a Convenient Location,"I checked in a night after my business partner came and it was tremendously smooth and easy despite arriving at past 1am.   The corrodors were a bit tight but enough for a full-sized hotel trolley to pass. Room is budget-sized, we booked 2 single beds. Toilet is just right for budget travellers, no bidet, but quality of fixtures and toiletries is above average with the rainshower option.   Location is very convenient: - a block away from Bencoleen MRT Stn - a few blocks from Bugis shopping malls and the market  - popular bar downstairs - neighnorhood food stalls nearby  Breakfast option is the bomb! You can get East Asian and contemporary options with quality espresso too!  The Duty Managers are divine with their personalized attention to us especially with several oversized…",40,Aug-22,Travelled on business,1,0
"Great Location, Great Breakfast, Great Stay","My friend and I really enjoyed our stay at Hotel G. We found the location to be very central and only a short walk from unique neighborhoods, restaurants, bars, and shopping malls. We were also able to easily walk to Marina Bay Sands and the Gardens by the Bay. And it is close to three or four metro stops (on different lines) making public transport really easy. The room is very sensibly laid out, with cute touches, a comfy bed, and a waterfall shower. Breakfast is also fantastic; with a wide range of choices (local, international, and ‘western’ - the lentil dal is especially amazing). The staff is also great - especially Matthew at the front desk, who made us feel very welcome at check in.",50,Sep-22,Travelled with friends,2,2
Wouldn’t choose this hotel again,Rooms were very small and not what I expected. Shower and toilet share the same space (literally you could showers while using the toilet). I have stayed in a number of other properties in Singapore in a similar price range and this was my least favorite. I also am not as fond of the neighborhood.,20,Sep-22,Travelled as a couple,1,0
Hotel G Stay was great!,"Our receptionist Matthew was awesome! He was very helpful and kind. We checked in our bags in our bags and checked in to our rooms early. They were kind enough to help us out even though check in was 2 hours from then. Room was nice, clean and affordable! Will definitely stay here again when I come back!",50,Sep-22,Travelled with friends,2,0
Excellent service,"so far it has been quite a pleasant stay. staff have been exceptionally accommodating to my requests. special thanks to kalai and ziwei for agreeing to bring a cake up to my room as a surprise! i really appreciate it, and will definitely be back :)) i highly recommend this hotel.",50,Sep-22,Travelled as a couple,1,0
Breakfast not recommended,"The location is nice! Breakfast is not recommended! I regretted to eat breakfast in the hotel!  If can, better eat at toast box near by. The hotel not very sound proof. The hotel plays music at the hallway but I can hear it in the room. Very annoying if you want to sleep off late.",40,Jul-22,Travelled as a couple,4,0
"Clean and Convenience, small hotel with everything you need.","The hotel is in nice area, close to MRT station. Reception staff, Matthew is very friendly and helpful. Good service. Room is small but have everything you need, clean and chic decor. Best match for those who looking for nice place to stay but spend a lot of time explore the city.",50,Aug-22,Travelled on business,53,5
4-star hotel?,"Although the hotel is offered as a 4* it is not true. The rooms are very small and mine specifically, was a double one and one roomate has, at its side, the wall. Teo middle bags cannot be opened at the same time inside the room. The sink is outside the bathroom and the wc and the shower are together, with no separation so when you shower, the floor and the wc get wet.   The breakfast (in level 1) is ok, but if you go 15 minutes before closing, they start removing the food.   The reception is located on the 2nd floor.",20,Aug-22,Travelled as a couple,230,78
"Not Perfect, But Decent Nonetheless","Stayed at this hotel for 4 nights for a work trip. Room was on the small side, but very clean, comfortable, sleek, functional and well-designed to maximise the limited space. Common areas were in general a bit tight, including the car access area to the lobby on Level 2 (bigger cars might have difficulties coming up for pickup/drop-off). Staff service was excellent - friendly, helpful and welcoming. Breakfast provided was basic but of decent quality, and hotel guests are entitled to a discount at a connecting restaurant called 25 Degrees Burgers. Above all, the hotel is centrally located within close proximity to eateries and amenities, and only a short walk to Bencoolen MRT and Bugis area - really good location. Probably not good for families, more for work/solo trips. Overall…",40,Jul-22,Travelled on business,4,0
Not a place to return too,"It felt like we had arrived at a youth hostel, although the man at the desk was very pleasant, he had no knowledge of the area or tourist attraction. The room was a queen omg! It was tiny! No room to open the case nowhere to hang clothes, the shower when used soaked the whole room. Clothes felt damp. Unless you are a young backpacker or don’t mind roughing it give this hotel a wide birth. The only plus we’re good location and breakfast.",20,Jul-22,Travelled with friends,6,14
Very good place to stay,The reception staff superb especially Yvonne has been very very helpful with all my questions and requests for assistance. I will be coming here next time I am Singapore. Good service /good facilities and good value for money. regards Ian,50,Jul-22,Travelled on business,10,0
nice cozy room,wish the space to king size bed in all direction was better.  no concierge service i.e. you carry your own luggage!  no pool - that was expected.  staff was courteous and was very responsive. Breakfast was as expected.,40,Jul-22,Undisclosed,8,0
"Decent Hotel, but not worth the money",Excellent location. Very small rooms and not worth for the money. WiFi also an issue. Facilities were limited. Not even a place to hang your clothes. I had a Great King room and hence the desk for working was good. Wash basin outlet pipe was also clogging.,30,Jul-22,Travelled on business,3,0
Boutique hotel with professional front desk staff,"Very good training staff, fast and efficient. The atmosphere of the hotel is very chic. They do not have a decent lobby to access. If u have a suitcase to carry. U need to be aware the entrance. The front desk is in the second floor. It is better to access by taxi if u carry a big suitcase like me. Other than that very decent hotel",50,Jul-22,Travelled solo,2,0
Very Senior Friendly,"18-20 Jul 2022-someone in the family was tested positive, to protect our 2 elderlies, we had to house them in a hotel.. turned out Hotel G was an excellent choice! Reception staff Ms Nana offered us a room fitted w senior friendly amenities - seat in shower area, grab bars in the toilet, low bed for easie movement, spacious room to accommodate wheelchair. Ms Natalie was so kind to fulfil our requests to get meals to their room on time and even get vegetarian meals for 1 of them who’s vegetarian. Mr Matthew was ever so friendly greeting us w smiles behind his mask each time we approached the counter. The housekeeping staff were excellent very prompt in cleaning up the room. Great Thanks! again to all staff at Hotel G! Keep up the wonderful service to those in need!! 😄👍",50,Jul-22,Travelled with family,1,0
Amazing stay and staff!,"We stayed at Hotel G Singapore for a couple of nights and everything was excellent!! The Manager Daryl was super nice and providing us with an excellent service at all times! The staff, the stay, the location... Everything was perfect! We will come back for sure!",50,Jul-22,Travelled as a couple,1,0
Quality Service!,My second visit to this hotel. Darryl was very welcoming and provided tip top hospitality to me and my friends. He handled to our requests and needs very attentively and tried his best to accord - was given a room upgrade & also welcome drinks voucher from Ginett! Reservation Haziqah also provided seamless and easy booking! Kudos to the team @ Hotel G!,50,Jul-22,Travelled with friends,1,0
stayed 10 nights having everyday same breakfast.,"room is very basic. for long stay the cleaner doesnot clean the room properly. glass, mugs and floors are dirty even after room service. the complementary stuffs in the room were not top up regularly. for short stay or one night stay probably good option. Breakfast has no varities having everyday same menu. location wise good as it is close to bugis and bencoolen MRT.",30,Jul-22,Undisclosed,27,34
Three Night Couples Stay,"This hotel is perfect if you want to explore the city for most of the day and you are not spending much time in your accomodation. It is clean & modern. There is a very nice bar with reasonable wine prices at the ground floor and it also has a burger restaurant which also seemed reasonably priced. Bencoolen MRT Station is a short walk and connects with all the main MRT stations including Bayfront. The breakfast was buffet style and was perfect every morning.  Only faults were the size of the room, which made it very difficult to even open a big suitcase and also the lifts are very slow.  Overall ideal for city explorers looking for somewhere to rest their heads at night. ",40,Jul-22,Travelled as a couple,3,4
This place is like chocolate coated dog crap....looks good but really isnt.,"This hotel is cute but tiny. I would never stay here again. The service is very average, beds are ok but the room is very very small. 2.5 meters by 2.5 meters in the sleeping area. I wanted to leave as I had other places to go but was told I will not get a refund this was not advised in advance. Beware this place is like chocolate coated dog crap.... Looks great on the outside but has a nasty surprise when you look inside. I hope they go broke for being jerks.",10,Jul-22,Travelled with family,1,0
Excellent Stay and Room and Location,am a first coming to G Hotel Interesting entrance great ambience early check in at 1PM  warm staff perfect for solo traveller location is close to MRT and bus station - reasonable price full amenities is provided  will definitively come back to G hotel!,50,Jul-22,Travelled solo,1,0
Pleasant experience,Overall a pleasant experience given the price. Good location with easy access to nearby shopping malls. Bed was comfortable.  Special shout-out to Pauline for her honesty and for a job well done. Room was clean and neat. Thanks.,40,Jul-22,Travelled as a couple,2,0
Honeymoon trip,"We booked 3 nights at Hotel G (a 4 star hotel) room type queen bed when we were back in Cairo but when we arrived and the receptionist ( her name is Hema) knew that we were on our honeymoon trip, she upgraded our room type to king bedroom. She was amazing and super friendly, helped us with a lot of attractions booking. Hotel is at a central location next to a lot of 24/7 open restaurants and supermarkets so we had an amazing experience trying out lots of cuisines (turkish, thai, indian, vietnamese, chinese) and there is like a bar (couple of bars) corner which is open till late (3 am).  The room is a bit small though but everything is clean and super cozy. You can also use their restaurant which is pretty good and affordable even if you didnt book any food in advance.",40,Jun-22,Travelled as a couple,117,42
Friends Staycation,"Did a staycation with my friend on their Linger Longer promo which is a two-night stay in their Good Room. It was bundled with 25 Degrees’ (the restaurant downstairs) It Takes Two box which includes 2 Signature Burgers and 1 side.   Room + Amenities: The room was comfy enough for two petite ladies like us! Interesting layout where the sink was outside the  toilet. They use fancy METIS brand soaps which smell good! There's no wardrobe in this room though so you'll have to hang your clothes by the mirror at the entrance where there's only 4 hangers.  Food: Only comment for the burger combo we had that was included in our promo package was that the fries tasted a little stale. Otherwise, the burgers themselves were pretty decent!  Service: Staff were super friendly and accommodated…",40,Jun-22,Undisclosed,4,2
Fantastic location,"Stayed at this hotel for 3 nights from the 15th June, the hotel is in a good location with loads of shops, restaurants and markets nearby. We ate in both restaurants located under the hotel as if you are a guest you can have a discount, food really good in both. Our room was spotless we were on the 6th floor in 0632, the room itself is very small but we knew that before we arrived so wasnt much of a shock, we did joke that the pictures made the room look huge, all basics in the room and really comfy bed with quilted mattress protector which always makes a difference, they have a green policy so wont clean the room the day after you arrive unless you request it which i think is quite a good idea, overall really good experience and would definately stay here again",50,Jun-22,Travelled as a couple,1,0
Cosy stay,"Consider for the price (please look out for their promotion packages from their own website), location and service, overall staying at Hotel G make us feel comfortable and relax. Daryl Goh who serve us, also impress us with his excellent pride service which he initial to upgrade our queen size bedroom to 2 single beds without any charge, explaining that it is much more convenience for my mum to walk about during the night which is true and really thoughtful of him. He also did an early check in for us and explaining everything in detail. It did make our stay more enjoyable. We definitely will be back 😊",50,Jun-22,Travelled with family,32,3
second time... there will not be a third for sure!,"This was our 2ns time at this hotel. We brought friends along as being quite reasonable prices and location is great. We thought that after 2 years closed because of COVID the hotel.should be spotless clean, but no. It is worst than last time we came. Shower has mold, rust spots and dust everywhere. The curtain blinds id the room were full of dust, we opened them and a cloud of dust flew.over our heads. As we came with friends and we had in total 3 rooms we dis also check.whith them, same story in the bathroom and the room.  But most important and to underline is that when you check in they inform they wont clean the room daily unless you stay 3 consecutive nights!!! it was a definitely ""no"" for us all. We got the room clean daily at least.  The restaurants have good vibes and…",20,Jun-22,Travelled as a couple,1,0
Good for a short couple weekend getaway,"Room is pretty small but we came to just chill and have a ""couple-time. The room is pretty clean and reasonable for the price paid.  A Good Room Queen is all we need for a couple getaway and the location is great.  Nearest MRT station is Bencoolen - a stone throw away and there are many eateries around it.  Will consider coming back soon.",40,Jun-22,Undisclosed,2,2
Pleasant experience in Singapore,"Hotel manage Darryl is very friendly. We got a room upgrade and late checkout. Room was clean, bed had very good mattress. Hotel offers good value for money. Centric location. We will come back for sure.",50,Jun-22,Travelled as a couple,1,0
very small room & very bad service,"smallest room, very bad service, bed size too small, no space to move around in the room, wash basin planned outside toilet. do not go with the pictures in any of the booking site, everything is wrong.",10,Jun-22,Travelled on business,24,52
Lovely room and service,"Spent a night with great air-con and comfortable bed. Check in was smooth and staff were friendly. Had a lovely clean room and even after I checked out, calling for help was easy when I left my item behind. Great surroundings too with many food choices at Fortune Centre. Will return again.",50,Jun-22,Travelled as a couple,1,0
Excellent service rendered,"Top notch service provided from when we check in to when we left.   Daryl, the senior duty manager, was the one who checked us in. He was friendly and pleasant, explaining all the check in procedures patiently.   Love the excellent service he provided and truly a gem to the industry and the hotel.  Keep it up!❤️",50,Jun-22,Travelled as a couple,1,0
Staycay at Hotel G,"Overall is good! Staff was friendly and had a free upgrade of the room. The staff was also very quick to response to our request (e.g. new toilet rolls)   However, the master button to switch off the lights was not working. There was no shower curtain in the toilet.",40,Jun-22,Travelled with friends,21,14
Dysfunctional establishment geared to facilitate the management not the customer!,This is a dysfunctional  establishment which appears to be run to facilitate the the management  not the customer! Different facilities like Ginett and 25° are open at different times on different days. You also have to book well in advance for Ginett (during my 6 night stay I was unable to secure a table in the restaurant). The various parts of the ‘hotel’ are dysfunctional with each other as I was unable to book the restaurant at reception for Tuesday when Ginett was closed on a Monday! I have numerous other examples but since I suspect the management would not be interested I will not waste my time,20,Jun-22,Travelled solo,1,0
"Great accomodation, amazing service!","Been to Hotel G many times before, always loved how unique and homely the rooms felt. Our recent stay was a step above, partly due to the amazing service by Daryl the hotel manager. He made sure all our needs were met and made the check in process as seamless as possible (didn't even take more than 2 minutes to get our keys). Was pleasantly surprised when he offered to upgrade us to a bigger and better room and extended our check out timing. Would definitely come here again! Thanks Daryl once again if you see this!",50,Jun-22,Travelled as a couple,1,0
Best service and staycation,The front desk employees are friendly and helpful. Really tries their best to provide you with the best service. The room is clean and cosy. Convenient location and many good foods nearby. Recommended to stay here!,50,Jun-22,Travelled as a couple,1,0
Good hotel for the price,Have stayed many times when visiting Singapore. Very inventive services - I always feel like they think of everything. The staff are also very friendly and helpful even when I asked about some quite complex situations. Only thing that isn't great is you have to walk through a trendy restaurant to get to the entrance so it can be kind of awkward. Otherwise great place.,50,Jun-22,Travelled on business,6,4
Disappointed Stay,"We spent 4 nights at our hotel and experience isn’t up to our expectations: Pros: - Nice design  - Good location Cons: - No fridge as we couldn’t thought at 4 star hotel - Poor breakfast selection. You are only choose one main course, which is the most terrible and worth to choose to stay at others hotel including buffet breakfast. The hotel management should public explicitly about this option for guest to consider to book at this hotel rather than mention ”Breakfast Included” - Service is just ok. Staff isn’t friendly and accommodating.",20,May-22,Travelled as a couple,27,0
Nice stay in Singapore,"We've stayed for 2 nights and it was a nice stay. It was a small room but enough facility. Hope the price was cheaper. (+) Location: walking distance to MRT stations to explore the city (+) Facilities: new furnitures, toiletries, water, coffee and tea, kettle etc (+) Staff: kind and friendly, especially Mr. Daryl Goh (+) The room had window and looked exactly as picture (+) Wifi was strong  (-) Nothing",40,May-22,Undisclosed,30,34
Disappointing,"The rug in the hallway looks like it had its day, and the smell adds to that feeling.  The gym is advertised to be open 24/7 but it's not. You have to get an appointment from the receptionist and he (Mr. Luke) insisted it is not open before 6am. No room for negotiation. Basta.   For a 4 Star hotel one would expect a bottle of water in the room, or a shaving set, or maybe both. But neither is available.   Had to go to the reception 3 times until they finally managed to get my card key working.  Yeah, nah, this hotel is a let down.",20,Jun-22,Travelled solo,1,0
Poor Quality Hotel,"Rooms are really tiny, yet expensive. Not for business people, very poor service, limited facilities. if on a very low budget, just OK, otherwise look for better hotel. Few good staff, other dont listen. Breakfast menu poor.",50,Jun-22,Travelled on business,2,0
2nd staycation and it was even better,"It was my 2nd stay at the hotel as the 1st was great. Hotel is conveniently located within walking distance between the various MRTs line. Apart from the convenient location, hawker centre and shopping malls are nearby and there are a few tourist attractions within walking distance too. Reception services at the front desk are great and hassle free, I was able to check-in fuss free. Booked the Great King Room and in my opinion and it was great. The room had all basic amenities needed for a short stay and it is spacious enough for 2 person. Breakfast served at Ginette was great and lunching there was great due to its affordable pricing (within $10-$20/pax). But do remember to make reservation early as it is quite crowded during the weekends. Overall, I had an impressive stay at…",50,May-22,Undisclosed,1,0
Review,"Room is very clean and tidy. The staff named Bella was very friendly, cheerful and polite. She made an effort to ensure that we have the best possible stay at Hotel G. 10/10 for the service rendered by bella👍🏻",50,May-22,Travelled as a couple,1,0
Great Location with resonable price,"Little bit small but others (location, breakfast, price .... and) quite good to revisit. Easily access to the Hotel (most Taxi deivers know the location).  Recommend for the short - mid term Biz trip.  (But it's quite small to share the room with others.)",50,May-22,Travelled on business,2,0
Quick and good check-in!,I’m a returned customer and I’m always very pleased by the quick check-in as well as the quality of service :) Daryl and his team are always on top on things which makes every stay hassle / stress free. Thank you for yet another great service & I look forward to returning again! :),50,May-22,Travelled solo,1,0
Modern facilities + great attention to detail,"Hotel room was clean, well maintained and the staff were friendly and polite. Breakfast was a selection from 1 of 5 main dishes: waffles, congee, american breakfast, etc. Free flow fruits, croissants and drinks were also available.  The room TV has a good selection of channels but also supports screen casting from your laptop or android device if you're more into youtube or Netflix shows.  Shout-out to the manager on duty Daryl Goh for the warm welcome and exceptional service! We would be happy to return in the future.",50,May-22,Travelled as a couple,12,9
Top-Notch Service Excellence,"I've stayed with Hotel G many many times. It's probably the best 4* hotel in Singapore. The reservations team were prompt and accomodating to reasonable requests. Housekeeping team is always so helpful and timely in their worm. Senior Duty Manager - Mr. Daryl Goh is very attentive to my requests upon check-in, such a great experience! So glad that Hotel G has such a wonderful team. To many more stays ahead~",50,May-22,Travelled with family,8,11
Could have been better,"Bad cleaning. Not very good location. Not possible to buy breakfast if not booked in advance (according to the unfriendly young small lady in charge of the breakfast). Bad elevators, took forever to get to/from room.",20,May-22,Travelled on business,1,0
not recommended,"the location is good but rooms are very very small, probably 4-5 meter sq. the lifts are super slow and you need to wait a long time to go down/up. not recommened for longer stays but is a decent place for one night.",20,May-22,Undisclosed,1,0
"best location, hygiene","The location is strategic, it,s centralized and near to everywhere, you needed.   the hotel room is unique and has a good concept,   the towel is not replaced by a new one, even if it,s already changed to a new day.",30,May-22,Travelled on business,1,0
Very disappointed.  Hotel provide expired body lotion (Feb 2022) to guests. Good location but rooms are very small.,"Good - located at strategic location. Hotel reception staff are quite friendly.    Bad- initially I stayed at Good room for one night, then upgraded to Great Room that is slightly bigger. Still find the rooms very small and not sound proof.   I am very disappointed that the hotel provided expired Body lotion to guests. Realised it when I got back home as I took it home since I used it halfway. I have attached the photos.   The pillows smell so would suggest the hotel air the pillows outdoor or sanitized it.",20,May-22,Travelled with family,2,0
recommended!,"Came here solo for a business trip. Very strategic place, easy to find (I took MRT) for someone who is not familiar with Singapore. Lots of good food in the neighborhood! Room is small but quite cozy. Hospitality is nice! Recommended, I would say.",50,May-22,Travelled on business,51,67
Satisfied with our stay,"4-night stay; 3 adults in adjacent double & single rooms (sold as family room)  Upside: (1) Downtown location - walking distance to Orchard Road, Little India, Bugis, etc.; two MRT (subway) stations nearby (2) Reasonable rate for family room - 2 adjacent rooms each with comfortable beds (queen & single, respectively), efficient air-conditioning, rainforest showers in each bathroom with forceful water pressure, quality toiletries and good soundproofing; breakfast for 3 included in rate (3) Small gym - due to Covid, need to reserve ahead for a 1-hour slot (max 4 users) and pick up keycard from reception (4) Food options right downstairs - went to the French restaurant for breakfast and for reasonably priced wines one evening, and to the Mamak (Indian-Muslim) 24-hour diner for a…",40,May-22,Undisclosed,1,0
Excellent customer service,"Me and my hubby were checked in hotel G and stayed for one night to celebrate my birthday, served by staff named ttani, she was so patient and nice, got a free upgrade and one bottle of red wine cos of my birthday, will visit here again definitely!",50,May-22,Travelled as a couple,2,0
Good Stay,"My 3rd stay in Hotel G. Served by friendly staff Aiman and was happy to receive my first free room upgrade here. Staff was fast and efficient. The room was a lot bigger than the standard room. Basic but comfortable. Only down side is there is no mini refrigerator. Location is convenient. Overall, quite satisfied.",40,May-22,Travelled with friends,1,0
"Horrible, and please avoid it",The first night my bed smelled horrible; they don't clean your room every day except your requests. I would advise anyone to stay at a different hotel. It's not suitable for someone not used to the smelly environment. The only positive thing shops are around the corner,10,Apr-22,Travelled solo,1,0
Great customer service and chic room.,"I would like to highly commend Mr. Daryl who helped us check in before the check-in time due to our flight arriving earlier than expected. The check-in process was quick and professional. Our room package includes free burgers and room decorations which Mr. Daryl informed right from check-in. He also gave us a bottle of red wine, I'm not sure if that's part of the package or it was complimentary by him but we highly appreciated it.  Our room was a King size bed, the room is compact. Just enough to open a large-size luggage but will need to close it back up to have any walking space. The room is fully equipped with all the amenities you can want. The location of the hotel is within a few minutes of the closest MRT station and is surrounded by many good local restaurants.  Highly…",50,May-22,Travelled as a couple,1,0
Excellent Service,"Excellent service provided by Daryl at Hotel G, was welcomed and greeted by him with a smile and explained clearly the details of the stay and was enthusiastic providing the service. The room is comfortable and relaxing.",50,May-22,Travelled as a couple,2,0
Not so bad,"Check in at midnight however there no one to assist with the luggage. Room is small and no Sound proof.  Mini bar was not cold and no wine glass. Request for Ice ,need to go to the lobby to collect.   Some staff is friendly and some is not. Room is clean",30,Apr-22,Travelled on business,2,0
Holiday Trip,"Room was small,The pressure of the Shower is too slow.Called Front office no one pick up.Key card also not working after i check in  Mini bar to small and  no wine glass. Room is not soundproof u can heard people talking from outside  Location is good near MRT and City",20,Apr-22,Travelled as a couple,1,0
Feedback for staff Daryl,"He was very welcoming and full of energy he helped me with my check in with great effort, even gave me two complimentary vouchers for two free in-house drinks at ginett restaurant. He was also so kind enough to help me check if it was possible to have late check out :)",50,Apr-22,Travelled as a couple,1,0
clean and simple,"simple, clean and friendly, location of hotel is excellent near Hospital, MRT station, hotel staff very efficient, friendly provide good service, hotel amenities are OK, Light are OK convenient for work at room, Air Condition is OK, shower hot and cold water are OK",50,Apr-22,Travelled on business,1,0
Enjoyed my stay with Hotel G Singapore,"I am very pleased with the people who works in Hotel G Singapore, especially its duty manager - Debbie Ong. I wasn't aware that my check-in timing was at 3pm, and went earlier than I should - Ms Debbie then, explained to me that the rooms wasnt ready and said she will give me a call once the room is ready. And she did.  I am really touched by her service because she didn't have to do it but she went all out.",50,Sep-21,Undisclosed,12,0
"clean, cool modern vibe and friendly receptionist","The check in process was fast and simple, the room was clean and tidy! Great for a solo stay. The location of the hotel is perfect is you want to walk around to many interesting spots in the district. it is also a 10 minutes walk to a train station.",50,Apr-22,Undisclosed,1,0
Check in was simple and fuss free!,"The check in process was fast and simple, room was clean and tidy! Although it's a little small but it's really cozy and has all the necessities (just note that there's no mini fridge in the room). Bella at the front desk was very kind and helpful too ☺️ Pleasant experience, would visit again in the future!",50,Apr-22,Travelled solo,1,0
Wonderful experience,"Our experience at wonderful. The staff was very friendly, helpful and quick at the services. Bella gave us a warm welcome and helped us with a smile at all times along with other staff members. The breakfast was also delicious.",50,Apr-22,Travelled with family,2,0
Great Location Great Service great food,"Once u walked in, u felt welcome by lovely friendly staffs, Rina, Bella, Nana, Aiman and Darryl were welcoming us and made us feel like home,  Room design is modern and comfortable bed!  We love this hotel. Ginett is superb, good service and good foods!",50,Apr-22,Travelled with family,1,0
Smol But Nice,"Location: Not Bad If u go from Bugis its kinda confusing if you don't know Singapore Room: Great King Room It's a bit smol but seems nice, very annoyed that you can't change the room temperature below 22degrees.  The flashlight doesn't work as the battery is dead. And the safe battery is not functioning properly as when I locked it, it barely lit up & then I couldn't unlock it. Amenities: Shampoo, conditioner, Body wash, towels, Tissues are all provided  Lacks some sockets if you're staying here for SHN. The lights are okay for working. Coffee is provided as well.  That said the TV is very cool, especially it's coded to say your name . Unfortunately, If you don't identify as M or F, their website isn't coded for that. So for those foreigners who legally are Non-binary, sadly you…",40,Apr-22,Undisclosed,3,0
"Kudos to Hema & Hani, a great stay from both of you!","A pleasant arrival experience with the front desk receptionist named Hema & Hani. They have a great sense of hospitality which parallel to a world class service as they noticed one of the occupant actually celebrating the special occasion (BIR) on the actual arrival day. Kudos to both of them, you both did a brilliant job! On a side note, we would said the express service and the runners were well communicated as from the point we dial ‘0’ to we received the requested item just taken 10 mins which pretty much demonstrated the term ‘team work’! Very well stay! Thanks.",40,Apr-22,Travelled with friends,33,39
Central and Cosy,"Membership: NA Room type: Executive Suite King Length of stay: Good Room with Queen Bed  Background: The company sponsored a one-night stay with Hotel G.   Arrival: Upon arrival at 3 pm, the front desk seemed shorthanded with only 2 staff on duty, line filled the cozy lobby. With limited seatings, the queue snaked towards the lift entrance. Waiting time was about 10mins per guest ahead of you.  Check-In: Frontdesk staff was super friendly, filled with calmness to address guests' every need despite the queue. Kudos to the front desk team!  Room: In their cozy little custom-designed rooms with vintage decor, it's really relaxing with their comfy queen-sized beds. Good water pressure for the rain shower and highly recommended enjoying all bathroom amenities. It smells fantastic!…",40,Mar-22,Undisclosed,1,0
