Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
High Tea,"Came here to celebrate birthdays and we were not disappointed! Wonderful, artisan desserts and perfectly portioned servings.   Lotha and Wayne did an exceptional job in making our visit pleasant by being attentive to our requests, thank you. Also, thank you for making it special by playing the birthday song on the piano and the slices of cakes. we had a great time here at The Landing Point at Fullerton Bay hotel.",50,Sep-22,Travelled with family,2,0,Fullerton
The Best Hotel in Singapore,"Everything about my experience at The Fullerton was incredible. The upgraded room with the bay view was so amazing, the decor and ambience of the hotel was just lovely, the staff was incredible and welcoming and the location couldn’t be beat. I would highly recommend anyone to stay at this hotel.",50,Sep-22,Travelled solo,31,55,Fullerton
Worst bar in Singapore or anywhere to be honest,"I don’t think I have been to a more pretentious entitled place in my life , from the 20 somethings pushing past us to get into the lift to the duff duff music on entry.Please wait to be given a standing only spot at 10.30 pm and then take 25 mins to get an overpriced cocktail. Get a table then wait 30 mins to get a second drink which actually never came  , how long does it take to pour a beer? The only reason that it get 1 star is due to the view and the air conditioned toilets very disappointing experience would not recommend at all .",10,Sep-22,Travelled as a couple,33,19,Fullerton
Birthday cake,I went to Lantern restaurant by The Fullerton Bay Hotel Singapore for birthday! The waiter whose name is Julius served birthday plate with singing. We appreciated it so much! My friend was so glad! Thank you so much .,50,Sep-22,Travelled with friends,1,0,Fullerton
Outstanding service by great staff,"Our two day stay was made all the more pleasurable by the friendly and attentive staff at the bars, restaurants and hotel reception. We like the location where it is easy to get to the underground and easy walks to/from some of the major sights of Singapore. This is a great hotel and we will be returning!",50,Sep-22,Undisclosed,12,0,Fullerton
"Amazing staff, beautiful hotel and a personalized experience","The beautiful and luxurious entrance hall and restaurant is complemented by an amazing staff, beautiful room (i recommend end the premier bay on 1st floor). From breakfast, Tea and dinner the food was delicious. I was provided with more then confort, perks and amenities, it was an personal and intimate experience.",50,Sep-22,Undisclosed,4,0,Fullerton
Lantern Bar fantastic on two days,"We had a superb evening in the Lantern bar.  Greeted by Alvin in the lobby and personally taken up before the bar was even open, it seemed nothing was too much trouble.  The staff went to the effort of bringing up cake from downstairs to go with our tea - even though it was not normally served.  Germa then managed to find a table for us the next evening to watch the light show.  We were greeted like old friends firstly by Alvin, then Germa and Anna when we were again escorted up to the Lantern.  We enjoyed a marvellous meal and were looked after for the evening by Julius.  A perfect location on the bay, along with exemplary service.  Cannot praise this beautiful hotel highly enough.",50,Sep-22,Undisclosed,1,0,Fullerton
Accommodating Staff at Lantern Bar,We enjoyed pur stay at the lantern bar. Julius Tallano who is one of the staff is very accommodating and polite. He even guided us in ordering one the best and unique drinks that i have ever tasted. We will surely recommend lantern bar as a place to visit,50,Sep-22,Travelled as a couple,1,0,Fullerton
Mom & cousin bday celebration!,Had a great time at Lantern! Great ambience! Awesome food! Splendid service from Daniel! Thank you so much for the complimentray birthday cake too! Will definitely revisit! Love the view and the choice of music played!,50,Sep-22,Travelled with family,4,0,Fullerton
Birthday celebration,Thanks for the birthday cake and fun customer service from daniel😊 he had been fun and entertaining and accommodated to our request for the night. Ambience was good and chilling. Thansk once again for the memorable experience.,40,Sep-22,Travelled with family,1,0,Fullerton
Perfect night at lantern bar,I visited here for my bday celebration w my family. It has nice view w great cocktails. Daniel assisted us in professional manner. I definitely will visit again. Highly recommend this place to everyone!,50,Sep-22,Travelled with family,2,0,Fullerton
BEST SERVICE EVER,The Lanter team made us feel like at home. We couldn’t ask for more they were super attentive to the tiniest detail we couldn’t ask for more. Julius made sure we weee well taken care of the whole night. We will definitely be back.,50,Sep-22,Travelled with friends,1,0,Fullerton
Perfect lunch at La Brasserie,"Everything was perfect from my call to book a table and Alan helping with mum’s bday surprise to JJ, Dinesh and team during the relaxing lunch at La Brasserie. Even the medium Ribeye was so tender and desserts were great! Best ondeh cake I’ve had! Thank you for accommodating my family’s needs and for the beautiful bday surprise! Just lovely!",50,Sep-22,Travelled with family,1,0,Fullerton
Afternoon Tea at Fullerton,"We came for afternoon tea for birthday celebration. Service was excellent. Lotha who served us was attentive and checked in with us a couple of times. Food was decent, but felt that there were too many sweets with rather repetitive flavour profiles. The ambience and setting was comfortable and relaxing.",50,Sep-22,Travelled as a couple,4,0,Fullerton
Excellent service and beautiful view from room,"The hotel is beautiful and the room was clean and bright, with an incredible view. But it was the exceptional service provided that made our stay extremely pleasant and comfortable.  Every staff member with whom we came in contact with was polite and professional. However, there are five staff members that were so impressive in their service that we will definitely return to the hotel again.  Every morning, we were greeted so warmly by Ms. Lotha Dimaano at La Brasserie. She was extremely attentive and kind, and always has a smile on her face when speaking to us. She is truly exceptional.  Ms. Connie Leow was very attentive to our dining needs, and never failed to say “Enjoy your meal” whenever she served us.   Ms. Grace Sng graciously gave us an overview of the different…",50,Sep-22,Travelled on business,1,0,Fullerton
Pleasant and lovely experience at The Landing Point,"Very thankful for the team (Lotha, Karen, Kate, HuiXia, Benson and Anthony) for accommodating our walk in request without any reservations.   We would also like to thank the Chef Team for putting together our Expressions Afternoon Tea set at the last minute as well.   The restaurant has a very nice atmosphere and service is impeccable. Thank you once again!",50,Sep-22,Travelled as a couple,4,4,Fullerton
Lovely Experience with Landing Point,"Would like to take this opportunity to say special thanks to the Landing Point team, especially Lotha, Karen, Kate, HuiXia. We walked in without any reservations and they still accommodated us with the best service. We had a wonderful time and the food was exquisite and delicious.",50,Sep-22,Travelled as a couple,3,2,Fullerton
Fantastic staycation and birthday celebration!,"It was a very enjoyable 2-night staycation with absolutely wonderful staff and facilities. Everything was calm and just right for a pandemic rest. The staff especially Lotha, Anna and Kate were so helpful in arranging for meals and helping to sort out last minute changes in our plans.  Gorgeous views in just about every direction from the very well-located hotel. Will definitely be back",50,Sep-22,Travelled with family,1,0,Fullerton
Wonderful experience High Tea,"I visited for a high tea session and it was amazing. Anthony, Xia and Hui helped during the session and made it a wonderful life experience. View was amazing and highly recommended for couples. There were some complimentary drinks as well for celebrating special occasions in your life.",50,Aug-22,Undisclosed,2,0,Fullerton
LANTERN AT THE FULLERTON BAY HOTEL SINGAPORE,"Love the view and ambiance, good music. Best Foods and Drink and very important the staffs are very approachable and good service. Will definitely come back again in this hotel. Really highly recommended to my friends and family.",50,Aug-22,Travelled as a couple,1,0,Fullerton
Excellent Service,Very Nice and friendly service with delicious food. Thank you for the excellent services. We will definitely come back again here. Recommended!! Thank you to all the staff who service us. Keep up your good job,50,Aug-22,Travelled with friends,2,0,Fullerton
Nice service and great view,"I got recommended by someone who works in SG. I asked I’d like to check out a bar with nice view of marina bay sands, Lantern bar is it! People are very nice, warm, and caring. Def nice night view, it would be lovely to come here with your beloved ones. It is not that loud so it is also enjoyable with family.",50,Aug-22,Travelled solo,1,0,Fullerton
Great service for my partner’s birthday High Tea experience,"We were served under Anthony and his service was great. Had a birthday cake and he made a complimentary drink for her as well. It was fantastic. Also, we needed to charge our phones cause our portable died and it was tended too. Really a life saver. We also had a complimentary parking since we drove",50,Aug-22,Travelled as a couple,1,0,Fullerton
High Tea,"The service rendered by Lotha, Asel and Hui Xia were excellent! Very attentive and accommodating to guests’ needs. They were very welcoming and great at their work as well, explaining the menu to us. Thanks!",50,Aug-22,Travelled with friends,2,0,Fullerton
Afternoon tea at the Landing Point,"I had afternoon tea with my family here to celebrate my birthday. The savory dishes were my favorite, especially the duck rillettes and smoked salmon! The variety of teas and coffees we're also very impressive and delicious. Fairus and Lotha were very helpful and accommodating.",50,Aug-22,Travelled with family,4,0,Fullerton
Disappointing and not up to standard,Always used to look forward to and enjoy my stays at the Fullerton Bay Hotel.  Despite the perfect location for Singapore the Fullerton team are not providing 5 star service.  Teamwork looks poor across the various teams be that the kitchen and front office service teams are not working together.  Service is slow and disjointed.  Teams are trying but it looks like there is a gap in senior management oversight.  After years of being a massive fan of the Fullerton Bay I will not be staying there again and will not be recommending it to friends and family.  Simply put the gap between the price you pay and the service you get are too far apart.,10,Aug-22,Travelled on business,2,0,Fullerton
Great Service and Food,Great service and warm hospitality from Ms Lotha.  Thank you Ms Lotha for making the dining experience warm and pleasant to enjoy. Will definitely return and recommend to friends and family! The place to go for a chill and relaxing afternoon,50,Aug-22,Travelled with family,1,0,Fullerton
Afternoon tea at The Landing Point,"I had a great afternoon tea experience at The Landing Point at The Fullerton Bay Hotel Singapore. Special thanks to Karen, Anthony and Lotha for the good service. The Chinese lady who served us coffee was so warm and nice too. Thank you!",50,Aug-22,Travelled with family,1,0,Fullerton
Excellent afternoon high tea experience,"Went to The Landing Point within Fullerton Bay Hotel for the afternoon high tea set. Food and service was excellent, with a great view of Marina bay sands and the waterfront. Special call out to Anthony and Lotha from the service staff, who remembered the little details and even celebrated my friend’s birthday. Will definitely come back again.",50,Aug-22,Travelled with friends,1,0,Fullerton
Disappointing afternoon Tea.,"Afternoon tea at The Landing Point. What a low quality experience !!! Even without considering the exorbitant cost of the afternoon tea, the experience is not at all nice and quite below expectations.  Service was poor.  Food nice at appearance but  not so interesting at taste.  Very disappointing.",20,Aug-22,Travelled as a couple,991,464,Fullerton
the place we would say YES,we arrive late in the night and we didn't expect that they still keep the room as we need all the night Manager was very sweet person and had the smart eyes  we felt overwhelm with the nice staff   then the best thing is the lady in the front they are beauty also,50,Sep-21,Undisclosed,7,8,Fullerton
Lovely way to enjoy Marina Bay,"We had the vegetarian afternoon tea, and Lotha made the experience extra special with attentive service from start to finish. Grateful to the team too for assigning us a table with a wonderful view of the Marina Bay.  The set is generally good, though there could be more variety to the savoury vegetarian items. Still, kudos for offering allium-free options!",50,Aug-22,Travelled with family,10,14,Fullerton
High Tea with Friends,I celebrated my 41st Birthday at The Landing Point Fullerton. We had fun in this place and we enjoyed taking pictures too! The staff are accomodating and making sure that we have everything we need! Special thanks to Lotha and Fairus!,50,Aug-22,Travelled with friends,1,0,Fullerton
Great Staycation,"You should be very proud of your staff who were friendly and very accommodating. Especially big thank you to Indra!!! The room was lovely. We loved the extremely comfortable bed, the atmosphere, the attention to details and the hotel products, snacks and drinks. The restaurant and bar staff were very helpful and the food very good. It was our second stay at your hotel but it wont be the last. We had a wonderful time and felt very comfortable and welcomed at your hotel. Thank you!",50,Aug-22,Travelled as a couple,1,0,Fullerton
Afternoon tea at The Landing Point,We had afternoon tea at The Landing Point. It’s full house but thanks to Lotha she’s very accommodating and sweet. Love the Sakura and Royal Orchid tea it really compliments the desserts. We had a nice view of the Marina Bay Sands. We will definitely go back.,50,Aug-22,Travelled with family,1,0,Fullerton
Birthday tea at the Landing Point,"Ambience was gorgeous & the tea spread was absolutely divine! Each item was exquisitely beautiful and delicious. Service was impeccable and we loved the gracious attention of Lotha and Asel. I fedback at end of tea that it was a beautiful birthday celebration and the next thing we knew, they sent a beautiful and complimentary  slice of chocolate cake with a candle. So thoughtful! I loved the whole experience and would certainly go again.",50,Aug-22,Travelled with friends,9,0,Fullerton
Great ambience and services,"Very home warming fell and great services from the  staff. Went for the hi tea, they change a new menu display the best menu and matching with a great choice of tea or coffee. The service by the team is great and always timely and patience. Great introduction and recommends of the hitea item and what drinks is matching .",50,Jul-22,Travelled with friends,133,32,Fullerton
Excellent!,Visited The Landing Point with a friend on 26 Jul 2022. Lotha & Karen were very helpful and attentive. Food was yummy as well! Definitely will return again. Thanks for the excellent service and food! :),50,Jul-22,Travelled with friends,4,0,Fullerton
Great gem of a property right on the bay,"This property, its staff, service, rooms and facilities are all top notch.  The rooms are spacious and luxurious with large bathrooms that include tubs and showers. The bed is ultra luxe and comfortable. Rooms even have a private balcony.  The breakfast buffet in the morning and the hot entrees are amazing. Service in the breakfast restaurant is also amazing - JJ deserves extra kudos!!  The gym and pool area are on the rooftop and very clean, modern and well maintained. Lobby bar is a great feature for meetings and casual dining.  I simply loved my entire stay!!",50,Jul-22,Undisclosed,109,89,Fullerton
Will stay again without a doubt,"This hotel is now my new go to hotel when in Singapore.  Worth every $$$.  Check-in process was smooth and staff were friendly and approachable.  Room was amazing and had a great view, was unexpectedly large and had everything we wanted.  Location was perfect and it was only a short walk to most places we wanted to visit.  Breakfast was perfect and meals were freshly made if required.  Again - all staff were amazing and nothing was too much trouble for them.  Room was comfortable, bathroom was huge and absolutely no problems at all with our stay.  Will definitely be staying again",50,Jun-22,Undisclosed,137,63,Fullerton
Best hotel in Singapore,"This is our favorite hotel in Singapore. We go often and we have had a chance to try several of the top hotels. This is by far the best one. The location is slightly off so you always need a car. But if you are staying here, you probably have a car waiting for you anyway. We love the rooms and the rooftop pool. The food at the cafe for breakfast is delicious too. We highly recommend Fullerton Bay and please do not confuse it with Fullerton Hotel, which is the post office hotel. Fullerton Bay is much nicer.",50,Apr-22,Undisclosed,5,4,Fullerton
Expressions Afternoon Tea,"Experienced the newly launched “Expressions Afternoon Tea” today. Distinctive new menu of pastries and savoury items. Facing Marina Bay, we had an enjoyable afternoon as we while the time away with the good food and drinks. Recommended.",50,Jul-22,Travelled as a couple,2,0,Fullerton
Incredible hotel,"We stay four nights It,s a beautiful place  The ubication is the best and I recommended the room with bay views You can see Marina bay and at night is espectacular  The breakfast has big quality The staff are also very kind and efficient and they help you about the city etc  Perhaps the cleaning service are not so good The wifi is good The rooms are big with a very good toilet I think it is a very good option for stay in Singapore",50,Jul-22,Travelled as a couple,111,56,Fullerton
Perfect,"This hotel was by far the best part of our week long trip to Singapore. It is a great location within walking distance to lots of restaurants and with a great view of the harbor. The roof top infinity pool is terrific and we appreciated the unlimited Spring water. The breakfast was amazing- it was made to order with great choices of delicious western and Asian food. Our deluxe room was very comfortable. The complimentary tour of the historic sister property the Fullerton- which was originally a post office- was very interesting for the architecture as well as the history.  However, the best part of this hotel is the staff. Everyone was friendly and helpful. We were especially grateful that the hotel arranged for someone to come to our room to perform the Covid tests that were…",50,May-22,Travelled as a couple,1279,571,Fullerton
Amazing Singapore experience,"The Fullerton Bay Hotel occupies the premium position on Marina Bay.  We had a room with point-blank views of the iconic buildings on the waterfront.  The room, as all the rooms, are large and clean; and the hotel staff, whether front-of-room, cleaning and dining are all friendly, efficient and professional.  The only thing I can think to improve it, is to add USB connections for charging.",50,Jun-22,Undisclosed,3,2,Fullerton
Leisure stay,"Good service and friendly staff who are very attentive, good room view and very clean, good environment for a nice relaxing holiday and very conducive to do work, good location as it is very near a lot of food places and iconic sights",50,Jul-22,Undisclosed,1,0,Fullerton
Fabulous views!,Stayed at the beautiful Robinson Suite. The views were fantastic. Olivia Hee is a great Butler and went out of her way to make us have a wonderful stay. She definitely elevated our experience at the Fullerton Bay. ,50,Jun-22,Undisclosed,2,0,Fullerton
"Extremely comfortable room, unmatched views","Of the several excellent hotels in the Marina Bay area, this is the only one that is literally on the waterfront (and also low-rise), so that you really have the feel of being on the bay.  We had a theme suite on the top (6th) floor, which was a very spacious and well-appointed room, but (because it was a big corner room) also had a 270-degree view of the whole of the Bay, some of the financial district buildings, etc.  Service was good and responsive.",50,Jun-22,Undisclosed,1,0,Fullerton
The Fullerton Bay Hotel Singapore,First class modern hotel with sweeping views of the bay. Great service. Rooms serviced several times a day. Great rooftop pool and bar. Breakfast ok but not as good as the rest of the hotel. Get an exclusive of breakfast rate if you can. Not the cheapest but you get what you pay for. Wouldn't hesitate to recommend.,50,Jun-22,Travelled on business,1,0,Fullerton
Exceptional,"Just Book it and walk in the door and you will understand why!!! Cant fault this place, the staff, the location, the cleanliness. The room sizes are very spacious with everything you can ask for. The pool is magnificent and has a great view.",50,Jun-22,Undisclosed,1,0,Fullerton
Excellent hotel with fantastic views and amenties,Excellent hotel with fantastic views and facilities. Staff were pleasant and helpful - they went out of the way to help us with every request. This was the best staycation we ever had. Amazing experience! ,50,Jun-22,Undisclosed,3,0,Fullerton
Best trip to Singapore May 2022,"5 stars  all over, location, service, food and accommodations. Unforgettable family trip. Although flights were long and luggage missed the connecting flight and arrived 2 days later, it was worth it. Enjoyed some Michelin star restaurants plus the nightly light shows at the Marina. Changi airport is very clean and efficient. VAT refunds were efficient. There are no priority ques for business class travelers but there was no need. The facial recognition check in was very fast. Security check is prior to boarding the flight so one must allow sufficient time to board. Singapore should be on everyone's bucket list or must visit list. Caters to all ages and tastes. ",50,May-22,Undisclosed,1,0,Fullerton
bay view room,"Beautiful comfy room bay view. Thanks to ndp rehearsal, we witness aircraft rehearsal outside our balcony, and thanks to i-light event, beautiful night lights all over mbs. Beautiful night view…………….. ",40,Jun-22,Undisclosed,3,0,Fullerton
Excellent,"It's a good hotel, the staff friendly, the food was good, room so clean, they give a new toiletries everyday, the rooftop and the pool so beautiful. maybe you can provide more variety of breakfast in the future",50,Jun-22,Undisclosed,1,0,Fullerton
"Clean and comfortable, good location for business and quick shoppings","I reserved the hotel for a business trip as it was recommended from my colleagues. Clean and modern hotel, with good view of the Marina Bay Sands. Also walking distance (when cool) to the Marina Bay Sands shopping center and very close to Lau Pa Sat, where you can casually join local food. Would recommend for anyone wishing to enjoy some time aside from business in the financial district across. ",50,Jun-22,Travelled on business,1,0,Fullerton
Wedding venue and stay overnight,"Wonderful experience, we got hitched at the Fullerton pods then stayed overnight at the corner room. Beautiful top to bottom with an extremely helpful staff there every step of the way, for our special day.",50,Jun-22,Undisclosed,1,0,Fullerton
Service excels.,"The point of difference with this hotel for me was the level of effort the staff go to for their guests when required. We had some bad luck on arrival, after which the staff and management made sure the rest of our stay went swimmingly. The rooms are good, service excellent, and food tasty. Thank you!",50,Jun-22,Travelled with family,31,30,Fullerton
Wonderful stay at Fullerton Bay Hotel,Check in was a breeze and we were greeted to a beautiful room with unobstructed views of Marina Bay. It was a sight to behold. Really enjoyed sipping tea by the balcony and admiring the city both in the day and night. The service at the hotel was also fantastic with great attention to detail. The room was luxurious and I would definitely return again in future. Special thanks to the team at Fullerton Bay Hotel for making the stay such a pleasant and enjoyable one! ,50,Jun-22,Undisclosed,1,0,Fullerton
Family staycation,"Came here for a family staycation. Service was good, as expected from a 5 star hotel. They had good kids amenities for children below 7.   However, the room is quite underwhelming considering the price paid. Bathtub drainage was spoiled which was a huge bummer for us. ",30,Jun-22,Undisclosed,1,0,Fullerton
Beautiful relaxing hotel with great service,"We recently spent 3 nights at the Fullerton Bay Hotel in Singapore.  The hotel is located in a beautiful location overlooking Singapore Harbour - would definately recommend spending the extra for the Bay View Rooms.  This really is a 5 star resort.  Nothing is too much trouble for the staff and a special mention to Oliver from Room Service who seemed to always be there for us, he was extremely attentive and pleasant and made our trip very special.  Would highly recommend this hotel either for a short or long stay.  Also, the pool area I think is better than the pool at Marina Bay Sands resort, it is private and intimate and the pool service is exceptional.",50,Jun-22,Undisclosed,15,13,Fullerton
Lack of staff is very apparent,"This is an amazing hotel and l have loved it from previous stays however it’s pretty clear FBH does not have the staff it needs to service it’s guests.   I stayed to enjoy the pool for my last day of a trip and there were literally zero staff around. Guests towels, cups, rubbish was not cleaned all day and just sat there. Birds had the opportunity to enjoy the left overs.   Also no one to greet you when you arrive or assist with luggage etc.  I had come from mandarin oriental which didn’t appear to suffer the same staff shortages.   The hotel is still beautiful and has lovely facilities I just hope they sort out the staffing issues soon.",20,Jun-22,Undisclosed,10,11,Fullerton
Fantastic Fullerton Bay,"The Fullerton Bay is one of the nicest hotels I have ever stayed at ever. The quality overall is fantastic, the location is great and the staff are so friendly and helpful. I will be coming back and staying here every time I’m in Singapore ",50,Jun-22,Travelled on business,1,0,Fullerton
Wonderful service from FBH,"Vanessa at the front desk deserved many thumbs up. From the time of check-in, we were impressed with her service. When asked for the view from our premier room, she was able to advise us that there was a higher category of room available, at a good price upgrade. We immediately grabbed the offer. No regrets! She also gave us a complimentary late checkout. Everyone must really try the bayview room, the full view of mbs when you wake up is really gorgeous. We were thankful for the stay as we enjoyed ourselves throughout the stay. Special thanks to Alvin the head butler for extending the free ice cream for my child but we didn't manage to go back the next day to redeem.   2 years ago and 2 years from now, the room condition still looks really good though the bathtub knobs for the…",50,Jun-22,Travelled with family,2,0,Fullerton
Full week business stay,"One of my favourite hotels in the city. High standards and extremely well located. Helpful and professional staff. Impeccable rooms. Great facilities, including several restaurants where I can have business guests. ",50,Jun-22,Travelled on business,1,0,Fullerton
A wonderful part of our Honeymoon,"The Fullerton Bay Hotel is an absolutely lovely property and doesn't hold its #1 position on TripAdvisor by luck.  A very warm welcome when we first arrived and continual touches of brilliance throughout or 6 night stay.  If you are reading this review then be confident that as per all of the other great reviews, this is an extremely nice place to stay.  We were hugely impressed by the Concierge and especially Andrew Yip who was a constant source of information, assistance and recommendations.  Andrew's guidance  for our first ever visit to Singapore was invaluable and we can't thank him enough.  He must have been glad to see the back of me after the amount of things I asked him, but everything was dealt with quickly, efficiently and with a smile.  He also seems to work 24/7 as…",50,Mar-22,Undisclosed,147,81,Fullerton
Excellent facility and location.,"We stayed here between May 29 and June 10. Had a great experience with very caring and responsive staff. Would not hesitate to stay here again or recommend it to others. Fantastic location from our perspective. Some issues with access to Concierge but when we finally connected, all was fine!",50,Jun-22,Travelled as a couple,8,5,Fullerton
My experience,"hello, I will tell you about my experience, the hotel has many amenities such as the possibility of breakfast, lunch and dinner, without a little expensive but it is delicious, eating at the hotel makes the experience much easier, I loved its positioning, since it is central, the workers are very friendly and you can go out to see new places since they are close to the hotel, if you go and need internet, the hotel has Wi-Fi throughout the hotel, its rooms are super large, comfortable and very clean, without thinking it is a wonderful place and highly recommended...",50,Jun-22,Travelled with family,8,0,Fullerton
Great experience,"A beautiful hotel in a great location by the lake with a great view of Marina Sand Hotel and with a wonderful rooftop bar, The Latern. The Fuller Bay Hotel is a great high quality hotel and rooms and a wonderful and serviceminded staff . Just a great week in Singapore at Fullerton Bay Hotel. ",50,Jun-22,Undisclosed,3,0,Fullerton
Everything is good except the very old swimming pool. and mold in the bathroom,"Great location Recommend to stay in the bay view room to see the symbol of Singapore. But I want to improve a lot of things like TV remote, old dvd player and need to clean the bathroom more. I found a lot of mold in the shower area. And the swimming pool in the hotel is old and inefficient. Other than that, I also encountered a problem with the key card. I can't enter my room. The hotel has too few staff.",40,Jun-22,Undisclosed,1,0,Fullerton
Perfect stay for family,Decided to book a trip for my family and it was so pleasant that we are missing it now.   The staff are friendly and the food is so nice.   Facilities are new and overall it is a good place for family and friends ,50,Jun-22,Undisclosed,1,0,Fullerton
Great service and amazing view,"Conveniently located allowing walk by foot to the Marina Bay area as well as to the Raffles Place area which means you can shop, dine and also do your business meetings if those happen in the Raffles business district. Also great running course towards the back of MBS where there is a park with paved roads. In terms of the hotel, you will get great service, good food, a decent gym and a great outdoor pool on the rooftop where you can do laps.",50,May-22,Travelled on business,13,4,Fullerton
Stay in Singapore for Business,Very comfortable hotel. In addition the location of the hotel is very well. I recommend this hotel for a stay in Singapore whatever the reason of this stay. In addition the staff is very professional.   ,40,May-22,Travelled on business,1,0,Fullerton
Excellent..Lovely Place in Lantern,"They are so kind and friendly :) Beautiful place, Relaxing.. The best Delicious Cocktails and Drinks in Singapore I want to visit again..Thank you so much! Special Thanks to Daniel,Loges,Roy,Anna! See you soon!!",50,May-22,Travelled as a couple,1,0,Fullerton
Birthday Celebration (Table C1),Came here the 3rd time and I was served by Mr Loges again. I’m so impressed on how he remembers me and his service is beyond expectations time again. He never fails to make me a returning guest. Kudos,50,May-22,Travelled with family,1,0,Fullerton
Absolutely the best!,"Stayed 2 nights, wish we could stay longer. Absolutely amazing property- had the marina bay view room. Immaculately clean- awesome view of marina bay sands and light show at night. Staff are super friendly. Buffet breakfast reasonable priced- good variety. Highly recommend. One of the best hotels we have stayed in.",50,May-22,Undisclosed,186,240,Fullerton
Mr & Mrs Chua,"Dear Fullerton Bay,  We would like to express my thanks and appreciation for the service and care we received at your hotel from 24th May to 26th May 2022.  I was there for 2 nights with my wife and for all these days we were attended with utmost warmth. We were impressed to see the prompt room service despite the peak season.  To front desk manager Indra, who has been nothing short of phenomenal. He is warm, friendly & professional. The genuine smile on his face when we received the two couple bears revealed his true interest in wanting us to be happy!  We would like to express our most sincere thanks once again to Indra for making our wedding anniversary such a memorable one.   Indra, continue to shine and to be Fullerton Bay’s walking ambassador.  See you again in July! :) …",50,May-22,Travelled as a couple,4,2,Fullerton
