Review Title,Review Description,Review Rating,Sentiment,Review,scores,compound,SIA_sentiment_type
good location,good location rooms small beds comfortable room clean would go back sure right across ion orchard plenty restaurants around area near mrt station,4,2,good locationgood location rooms small beds comfortable room clean would go back sure right across ion orchard plenty restaurants around area near mrt station,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.8807}",0.8807,2
quite content,location good best aspect stay time service also good adding robot interesting attraction large bed condition questionable though really wish house keeping department help vacuum room every day women stay together lots hair fall floor,3,1,quite contentlocation good best aspect stay time service also good adding robot interesting attraction large bed condition questionable though really wish house keeping department help vacuum room every day women stay together lots hair fall floor,"{'neg': 0.042, 'neu': 0.534, 'pos': 0.424, 'compound': 0.9639}",0.9639,2
fabulous cool hotel perfect location,booked room bunkbed absolutely love bunkbed beds comfortable hotel room soooo clean komyuniti superb helpful staffs annie especially thank annie breakfast lots varieties since stayed days congee must try adorable yoshi yolanda cleaned rooms every days sheets comfy malls surrounding hotel vibrant place stay easy checkout wait come back,5,2,fabulous cool hotel perfect locationbooked room bunkbed absolutely love bunkbed beds comfortable hotel room soooo clean komyuniti superb helpful staffs annie especially thank annie breakfast lots varieties since stayed days congee must try adorable yoshi yolanda cleaned rooms every days sheets comfy malls surrounding hotel vibrant place stay easy checkout wait come back,"{'neg': 0.0, 'neu': 0.512, 'pos': 0.488, 'compound': 0.9899}",0.9899,2
great location stay,location easy get around singapore mrt buses nearby get main attractions convenience stores nearby well easy pick snacks sim card queen city view room good value,5,2,great location staylocation easy get around singapore mrt buses nearby get main attractions convenience stores nearby well easy pick snacks sim card queen city view room good value,"{'neg': 0.0, 'neu': 0.511, 'pos': 0.489, 'compound': 0.959}",0.959,2
would return business trips,location great right centre shopping district good amenities provided service impeccable left item behind contacted within day staff,5,2,would return business tripslocation great right centre shopping district good amenities provided service impeccable left item behind contacted within day staff,"{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.7906}",0.7906,2
pleasent stay,top floor balcony city view room cleaned changed every day stay stayed week issue sink plug working nd night stay sorted quickly air con unit need new filter bed pillows comfortable issue whole stay guests wearing masks small lifts robots delivering room service entertained cool,5,2,pleasent staytop floor balcony city view room cleaned changed every day stay stayed week issue sink plug working nd night stay sorted quickly air con unit need new filter bed pillows comfortable issue whole stay guests wearing masks small lifts robots delivering room service entertained cool,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.8074}",0.8074,2
good location,good stay comfortable location fantastic service fast wish rooms bit bigger families like us gym swimming also okay bit expensive site mostly due oocation,4,2,good locationgood stay comfortable location fantastic service fast wish rooms bit bigger families like us gym swimming also okay bit expensive site mostly due oocation,"{'neg': 0.0, 'neu': 0.529, 'pos': 0.471, 'compound': 0.9423}",0.9423,2
suitable families,hotel fantastic location hotel interested catering families booked two rooms requested interconnecting rooms arrived check specified wanted interconnecting rooms guy said tell yet interconnecting rushed us whole check process asked handed us keys said know interconnecting got rooms found interconnecting hotel definitely suited families unless want spend whole lot time split two groups,2,0,suitable familieshotel fantastic location hotel interested catering families booked two rooms requested interconnecting rooms arrived check specified wanted interconnecting rooms guy said tell yet interconnecting rushed us whole check process asked handed us keys said know interconnecting got rooms found interconnecting hotel definitely suited families unless want spend whole lot time split two groups,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.8519}",0.8519,2
new hotel singapore,stayed night hotel visit singapore firdt week september wonderful time yotel hotel located center near mrt orchard station room clean comfort bed air conditional well great breakfast good hotel singapore,4,2,new hotel singaporestayed night hotel visit singapore firdt week september wonderful time yotel hotel located center near mrt orchard station room clean comfort bed air conditional well great breakfast good hotel singapore,"{'neg': 0.0, 'neu': 0.591, 'pos': 0.409, 'compound': 0.9517}",0.9517,2
new hotel,room small still pleasant stay near mrt orchard station passing ion patterson link bus station also near easily found grab easy check check via kiosks hotel entrance overall located convenient location,5,2,new hotelroom small still pleasant stay near mrt orchard station passing ion patterson link bus station also near easily found grab easy check check via kiosks hotel entrance overall located convenient location,"{'neg': 0.0, 'neu': 0.771, 'pos': 0.229, 'compound': 0.8225}",0.8225,2
pleasant stay,maintenace hotel room good quality conditions years floors proper vacuum face towels hand towel provided room checked went reception counter face towels hand towel realized given floor towel next given hand towel stains unacceptable unprofessional,2,0,pleasant staymaintenace hotel room good quality conditions years floors proper vacuum face towels hand towel provided room checked went reception counter face towels hand towel realized given floor towel next given hand towel stains unacceptable unprofessional,"{'neg': 0.123, 'neu': 0.568, 'pos': 0.309, 'compound': 0.8591}",0.8591,2
cool experience,everything expensive singapore looking reasonable priced hotel stay near orchard easy yotel compact yet well designed hotel satisfies requirement overall wonderful experience,4,2,cool experienceeverything expensive singapore looking reasonable priced hotel stay near orchard easy yotel compact yet well designed hotel satisfies requirement overall wonderful experience,"{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.9153}",0.9153,2
cleaning stay bathroom block view,cleaning stay days aske clean floor bin clean days stay bathroom dirty bathroom block view small persons tea bathroom room full stuffs,2,0,cleaning stay bathroom block viewcleaning stay days aske clean floor bin clean days stay bathroom dirty bathroom block view small persons tea bathroom room full stuffs,"{'neg': 0.248, 'neu': 0.598, 'pos': 0.154, 'compound': -0.5106}",-0.5106,0
cool hotel,easy online check staff helpful assist us essentials readily available cute room love bed clean white beddings want suggest garbage restroom cleaning rooms every days amazed speedy delivery requested items robots,4,2,cool hoteleasy online check staff helpful assist us essentials readily available cute room love bed clean white beddings want suggest garbage restroom cleaning rooms every days amazed speedy delivery requested items robots,"{'neg': 0.0, 'neu': 0.562, 'pos': 0.438, 'compound': 0.9552}",0.9552,2
yotel amazing,yotel good place stay love accomodation perfect couples love way staff assist us great stay good food fast wifi honeymoon amazing thank,5,2,yotel amazingyotel good place stay love accomodation perfect couples love way staff assist us great stay good food fast wifi honeymoon amazing thank,"{'neg': 0.0, 'neu': 0.346, 'pos': 0.654, 'compound': 0.9823}",0.9823,2
futuristic cabin,self check computer hotel lobby robot send extra water coffee cup replace housekeeping however still able feel warm hotel friendly helpful staff,4,2,futuristic cabinself check computer hotel lobby robot send extra water coffee cup replace housekeeping however still able feel warm hotel friendly helpful staff,"{'neg': 0.0, 'neu': 0.679, 'pos': 0.321, 'compound': 0.7906}",0.7906,2
average stay,great location center high end shopping district compact rooms friendly helpful staff terrible beds poor quality mattress couldnt changed instead came put wood plank top mattress,3,1,average staygreat location center high end shopping district compact rooms friendly helpful staff terrible beds poor quality mattress couldnt changed instead came put wood plank top mattress,"{'neg': 0.172, 'neu': 0.611, 'pos': 0.217, 'compound': 0.1531}",0.1531,2
great place stay,great little hotel great location yes rooms small manageable staff amazing would definitely stay hotel breakfast good selection wary booking supplies breakfast bookings person meaning free breakfast even two room mrt min walk orchard road,5,2,great place staygreat little hotel great location yes rooms small manageable staff amazing would definitely stay hotel breakfast good selection wary booking supplies breakfast bookings person meaning free breakfast even two room mrt min walk orchard road,"{'neg': 0.0, 'neu': 0.56, 'pos': 0.44, 'compound': 0.9738}",0.9738,2
room really smalll,everyday cleaning room room small location convenient smart devices need call refill water change towel everyday think suitable ppl short staying,3,1,room really smallleveryday cleaning room room small location convenient smart devices need call refill water change towel everyday think suitable ppl short staying,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4019}",0.4019,2
rude manager unhelpful front desk,location good first impression hotel horrible met staff seated front dressed brown coat rude unhelpful approached tried asking baggage storage arrived earlier check time without listening concern brushed gave unwarranted response saying early check sgd really necessary customer even requesting left horrible first impression hotel indeed check came snapped rush process one else check acted customer heart know steps perform self check without even reading screen please train improve,1,0,rude manager unhelpful front desklocation good first impression hotel horrible met staff seated front dressed brown coat rude unhelpful approached tried asking baggage storage arrived earlier check time without listening concern brushed gave unwarranted response saying early check sgd really necessary customer even requesting left horrible first impression hotel indeed check came snapped rush process one else check acted customer heart know steps perform self check without even reading screen please train improve,"{'neg': 0.146, 'neu': 0.72, 'pos': 0.134, 'compound': -0.4767}",-0.4767,0
great value money hotel perfect location,thought hotel looked cool something little bit different norm lot cheaper hotels definitely feel like compromise hotel great location clean modern staff always friendly good selection food time day recommend lunch deal spending day hotel room clean quiet loved rain shower views balcony pool gym good size overall great experience would definitely stay yotel,5,2,great value money hotel perfect locationthought hotel looked cool something little bit different norm lot cheaper hotels definitely feel like compromise hotel great location clean modern staff always friendly good selection food time day recommend lunch deal spending day hotel room clean quiet loved rain shower views balcony pool gym good size overall great experience would definitely stay yotel,"{'neg': 0.0, 'neu': 0.465, 'pos': 0.535, 'compound': 0.9933}",0.9933,2
singapore stay,overall comfortable room excellent location close orchard scotts road customer service mission control excellent staff willing assist gripe room serviced daily,4,2,singapore stayoverall comfortable room excellent location close orchard scotts road customer service mission control excellent staff willing assist gripe room serviced daily,"{'neg': 0.0, 'neu': 0.64, 'pos': 0.36, 'compound': 0.8934}",0.8934,2
amazing service,staff noticed birthday even though bring keying email stay september appreciated noticed staff later sent birthday card eclairs room,5,2,amazing servicestaff noticed birthday even though bring keying email stay september appreciated noticed staff later sent birthday card eclairs room,"{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.7964}",0.7964,2
great stay,excellent location breakfast great variety menu stay value money close orchard road shops golf shop isetan definitely stay recommend pur friends,4,2,great stayexcellent location breakfast great variety menu stay value money close orchard road shops golf shop isetan definitely stay recommend pur friends,"{'neg': 0.0, 'neu': 0.458, 'pos': 0.542, 'compound': 0.9578}",0.9578,2
great hotel designed traveler,hotel designed someone knows really needed clean functional comfortable room everything needed including free drinking water tea coffee iron board hair dryer plenty outlets including usb plenty hot water good size shower bed comfortable pool gym restaurant yolanda josi robots icing cake great staff always smile always assist thank,5,2,great hotel designed travelerhotel designed someone knows really needed clean functional comfortable room everything needed including free drinking water tea coffee iron board hair dryer plenty outlets including usb plenty hot water good size shower bed comfortable pool gym restaurant yolanda josi robots icing cake great staff always smile always assist thank,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.9817}",0.9817,2
enjoying vacation stay,pleasant stay since strategic location near shopping malls cafe restaurant mrt station within walking distance room clean modern design toilet fantastic views modern cities room small conducive quiet,4,2,enjoying vacation staypleasant stay since strategic location near shopping malls cafe restaurant mrt station within walking distance room clean modern design toilet fantastic views modern cities room small conducive quiet,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.8658}",0.8658,2
yotel stay family six september,great time yotel conveniently located along orchard road near big malls minute walk train station rooms nicely sleek modern beds super comfy especially long day walking rooms adjoined added bonus us expect rooms bit cramped though everything might need hotel room surely consider yotel back singapore,5,2,yotel stay family six septembergreat time yotel conveniently located along orchard road near big malls minute walk train station rooms nicely sleek modern beds super comfy especially long day walking rooms adjoined added bonus us expect rooms bit cramped though everything might need hotel room surely consider yotel back singapore,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.9217}",0.9217,2
heyyy hell,hotel soooo goood highly enjoyed stay singapore miss yolaanda robot singin already surely back hotel visit singapore okay change quality service,5,2,heyyy hellhotel soooo goood highly enjoyed stay singapore miss yolaanda robot singin already surely back hotel visit singapore okay change quality service,"{'neg': 0.057, 'neu': 0.643, 'pos': 0.3, 'compound': 0.7778}",0.7778,2
perfect hotel quick business travelers,extremely modern clean super efficient robot served supplies much better humans easily reached public transport location strategic go wrong facility,4,2,perfect hotel quick business travelersextremely modern clean super efficient robot served supplies much better humans easily reached public transport location strategic go wrong facility,"{'neg': 0.08, 'neu': 0.411, 'pos': 0.509, 'compound': 0.9403}",0.9403,2
stay yotel,jaypee mai service outstanding lady specs staff keen help stood please change luggage weighing device know added service really helpful guests,5,2,stay yoteljaypee mai service outstanding lady specs staff keen help stood please change luggage weighing device know added service really helpful guests,"{'neg': 0.0, 'neu': 0.538, 'pos': 0.462, 'compound': 0.9273}",0.9273,2
small well equipped room,small hotel orchard rd clean modern finding taxi grab could really hard sometimes room cleaned every days pool average nothing special find ice machine near pool lift staff friendly helpful things encouraged self serve check room key check,4,2,small well equipped roomsmall hotel orchard rd clean modern finding taxi grab could really hard sometimes room cleaned every days pool average nothing special find ice machine near pool lift staff friendly helpful things encouraged self serve check room key check,"{'neg': 0.077, 'neu': 0.663, 'pos': 0.26, 'compound': 0.8537}",0.8537,2
great hotel sightseeing trip,located close center city easy get famous sights quickly hotel modern futuristic perfect young people good experience really comfortable,4,2,great hotel sightseeing triplocated close center city easy get famous sights quickly hotel modern futuristic perfect young people good experience really comfortable,"{'neg': 0.0, 'neu': 0.497, 'pos': 0.503, 'compound': 0.9531}",0.9531,2
perfect place stay,location perfect convinient room perfect bed linen good bathroom great breakfast meals good convinient cost tv variety channels wif strong fast,5,2,perfect place staylocation perfect convinient room perfect bed linen good bathroom great breakfast meals good convinient cost tv variety channels wif strong fast,"{'neg': 0.0, 'neu': 0.397, 'pos': 0.603, 'compound': 0.9758}",0.9758,2
worst hotel ever,one worst hotels ever expect hotel poor standard lacks privacy shocking room size suitable human use advice everyone seeks privacy comfort cleanliness stay away hotel positive thing close orchard street,1,0,worst hotel everone worst hotels ever expect hotel poor standard lacks privacy shocking room size suitable human use advice everyone seeks privacy comfort cleanliness stay away hotel positive thing close orchard street,"{'neg': 0.304, 'neu': 0.564, 'pos': 0.132, 'compound': -0.836}",-0.836,0
great stay great location,pleasure staying affordable hotel good location close orchard rd shopping junction mrt room clean served purpose great however bit small balcony highest level fantastic view especially night pool great swim walking around day nothing spectacular nice cocktails komunity bar also nice expensive staff also helpful helped check kept bags stored away day check flight late night organised taxi whenever needed,4,2,great stay great locationpleasure staying affordable hotel good location close orchard rd shopping junction mrt room clean served purpose great however bit small balcony highest level fantastic view especially night pool great swim walking around day nothing spectacular nice cocktails komunity bar also nice expensive staff also helpful helped check kept bags stored away day check flight late night organised taxi whenever needed,"{'neg': 0.054, 'neu': 0.616, 'pos': 0.33, 'compound': 0.977}",0.977,2
raymond liew,total informed oversea guests book yotel italy south korea australia overall happy room rate location room shower water cannot select cold hot water water always hot ok like take hot shower range foods breakfast rooms improve,3,1,raymond liewtotal informed oversea guests book yotel italy south korea australia overall happy room rate location room shower water cannot select cold hot water water always hot ok like take hot shower range foods breakfast rooms improve,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.8834}",0.8834,2
tiny compact room novel room arrangement everything worked,hotel room reclined bed might good watching tv ideal normal sleeping hotel features robots supposedly bring stuffs room pet appear working staff said sadly broken staff generally responsive like print documents business right lobby additional charges,3,1,tiny compact room novel room arrangement everything workedhotel room reclined bed might good watching tv ideal normal sleeping hotel features robots supposedly bring stuffs room pet appear working staff said sadly broken staff generally responsive like print documents business right lobby additional charges,"{'neg': 0.141, 'neu': 0.6, 'pos': 0.259, 'compound': 0.6908}",0.6908,2
quirky hotel,self check bit hassle good experience stayed sister niece room small expected really like bunk bed good experience staffs really friendly gave birthday card macaroons overall quirky hotel would stay pros strategic location toilet bidet many channels tv mini fridge iron ironing board provided room cons room really small alright floor slightly dirty slow shower drain days,4,2,quirky hotelself check bit hassle good experience stayed sister niece room small expected really like bunk bed good experience staffs really friendly gave birthday card macaroons overall quirky hotel would stay pros strategic location toilet bidet many channels tv mini fridge iron ironing board provided room cons room really small alright floor slightly dirty slow shower drain days,"{'neg': 0.038, 'neu': 0.754, 'pos': 0.208, 'compound': 0.8947}",0.8947,2
great location friendly helpful staff value money,stayed nights must say hotel efficient self check system place look minute less staff friendly helpful always smile face room little small cleanliness rooms improvements overall pretty good experience good solor couple travellers,4,2,great location friendly helpful staff value moneystayed nights must say hotel efficient self check system place look minute less staff friendly helpful always smile face room little small cleanliness rooms improvements overall pretty good experience good solor couple travellers,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.9862}",0.9862,2
family staycation,good comfortable stay bedding good bathroom clean nice perfectly great guest like stay heart orchard area plenty food options around recommended japanese food stuff lover isetan selling variety japanese specialties,4,2,family staycationgood comfortable stay bedding good bathroom clean nice perfectly great guest like stay heart orchard area plenty food options around recommended japanese food stuff lover isetan selling variety japanese specialties,"{'neg': 0.0, 'neu': 0.439, 'pos': 0.561, 'compound': 0.9801}",0.9801,2
small rooms big features,futuristic concept hotel offered lot surprising elements maximized small space check quick easy thanks self check allowed book retrieve booking register take key staff always hand assist traditional sense counters also hand check staff room room number trip yes small everything needed even space large luggage open wall entertainment center also integrated clothes hooks cabinet ironing board cabinet umbrella yes flashlight foldout desk water bottle counter bottle opener bedside table contained coffee area large safe could,5,2,small rooms big featuresfuturistic concept hotel offered lot surprising elements maximized small space check quick easy thanks self check allowed book retrieve booking register take key staff always hand assist traditional sense counters also hand check staff room room number trip yes small everything needed even space large luggage open wall entertainment center also integrated clothes hooks cabinet ironing board cabinet umbrella yes flashlight foldout desk water bottle counter bottle opener bedside table contained coffee area large safe could,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.9741}",0.9741,2
stay yotel,negative point room cleaned every days room small inconvenient means chose wrong hotel suit circumstances work everything else fine,3,1,stay yotelnegative point room cleaned every days room small inconvenient means chose wrong hotel suit circumstances work everything else fine,"{'neg': 0.226, 'neu': 0.7, 'pos': 0.074, 'compound': -0.5719}",-0.5719,0
dirty,hotel good location room narrow much dirty example found hairs bed two drawers room room ever cleaned permanence nights,2,0,dirtyhotel good location room narrow much dirty example found hairs bed two drawers room room ever cleaned permanence nights,"{'neg': 0.127, 'neu': 0.746, 'pos': 0.127, 'compound': 0.0}",0,1
cool new hotel great location,yotel singapore great things even room size small like singapore hotels functions well smart bed actually offers space shower space big open view self checkin check actually easy save lot time gym open hours facilities clean new offer iron iron board business traveler friendly location amazing center orchard roland basically get everything want around area bit disappointed cm woman would say room size works ok solo traveler people nah breakfast costs sgd including tax option meh would highly,4,2,cool new hotel great locationyotel singapore great things even room size small like singapore hotels functions well smart bed actually offers space shower space big open view self checkin check actually easy save lot time gym open hours facilities clean new offer iron iron board business traveler friendly location amazing center orchard roland basically get everything want around area bit disappointed cm woman would say room size works ok solo traveler people nah breakfast costs sgd including tax option meh would highly,"{'neg': 0.053, 'neu': 0.606, 'pos': 0.341, 'compound': 0.9839}",0.9839,2
good location,location good fringe orchard accessible service staff decent bed comfortable room crammed bedsheets stains decent going exploring day sleeping night,3,1,good locationlocation good fringe orchard accessible service staff decent bed comfortable room crammed bedsheets stains decent going exploring day sleeping night,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.8442}",0.8442,2
bad experience,aircond turned sleep light room sensitive motion keep turning disturbed sleep never visit recommending anyone bad experience,2,0,bad experienceaircond turned sleep light room sensitive motion keep turning disturbed sleep never visit recommending anyone bad experience,"{'neg': 0.39, 'neu': 0.61, 'pos': 0.0, 'compound': -0.8625}",-0.8625,0
good location price,price really value money location several issues stay left instructions room refreshed happened anyway appreciate personal things touched moved bed way soft support speak air conditioning tends switch middle night due motion sensor installed room,3,1,good location priceprice really value money location several issues stay left instructions room refreshed happened anyway appreciate personal things touched moved bed way soft support speak air conditioning tends switch middle night due motion sensor installed room,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.8748}",0.8748,2
fun trendy hotel,amazing hotel location amazing room facilities trendy made great experience price cheaper hotels area would definitely come next trop singapore,5,2,fun trendy hotelamazing hotel location amazing room facilities trendy made great experience price cheaper hotels area would definitely come next trop singapore,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.9313}",0.9313,2
overal good,happy overall service outcome contracted covid confined room days eric proactive making stay comfortable possible despite adverse circumstances,4,2,overal goodhappy overall service outcome contracted covid confined room days eric proactive making stay comfortable possible despite adverse circumstances,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.8025}",0.8025,2
best pads near orchard shopping area,walking distance vibrant shopping area orchard road mount elizabeth hospital easiest way walk across go shaw center marriott tangs plaza underpass ion orchard underpass well maintained hotel minimum number staff smart efficient cooperative small rooms pads equipped amenities desirable like small safe hairdryer ironing tea coffee facilities also put umbrella room case raining outside city view bathroom hot shower quite rooms comfy beds good night sleep also got pool gym tenth floor though due lack time experience time would certainly recommend yotel orchard couple visiting,4,2,best pads near orchard shopping areawalking distance vibrant shopping area orchard road mount elizabeth hospital easiest way walk across go shaw center marriott tangs plaza underpass ion orchard underpass well maintained hotel minimum number staff smart efficient cooperative small rooms pads equipped amenities desirable like small safe hairdryer ironing tea coffee facilities also put umbrella room case raining outside city view bathroom hot shower quite rooms comfy beds good night sleep also got pool gym tenth floor though due lack time experience time would certainly recommend yotel orchard couple visiting,"{'neg': 0.02, 'neu': 0.672, 'pos': 0.308, 'compound': 0.9826}",0.9826,2
good location,good location rooms quite small good enough sleep improve every days room cleaning minor refurbishments room value money booked rd party booking sites,4,2,good locationgood location rooms quite small good enough sleep improve every days room cleaning minor refurbishments room value money booked rd party booking sites,"{'neg': 0.0, 'neu': 0.579, 'pos': 0.421, 'compound': 0.9153}",0.9153,2
meh bad sleep,hotel looks cool good location horrible fundamentals bed soooo bad zero support springs horrible foam sleep side sinks like pillow sleeping slant works single sleeping middle bed service horrible people unfriendly speak could care less complained bed lady offered another bed exactly another room put wooden board bed finally apologized somewhat empathic nothing could walking away otherwise zero acknowledgment staff invisible breakfast horrible bland worth go,1,0,meh bad sleephotel looks cool good location horrible fundamentals bed soooo bad zero support springs horrible foam sleep side sinks like pillow sleeping slant works single sleeping middle bed service horrible people unfriendly speak could care less complained bed lady offered another bed exactly another room put wooden board bed finally apologized somewhat empathic nothing could walking away otherwise zero acknowledgment staff invisible breakfast horrible bland worth go,"{'neg': 0.28, 'neu': 0.536, 'pos': 0.183, 'compound': -0.8862}",-0.8862,0
location fantastic rooms needed made often,great location price point hotel offered fantastic staff polite helpful rooms bit small well designed however rooms cleaned every three days told asked given information sheet becomes issue especially bin becomes full wet towels size room bed used less cleaned,4,2,location fantastic rooms needed made oftengreat location price point hotel offered fantastic staff polite helpful rooms bit small well designed however rooms cleaned every three days told asked given information sheet becomes issue especially bin becomes full wet towels size room bed used less cleaned,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.9022}",0.9022,2
overpriced based experience,partner feel overpaid visit starters robots entire night stay collect everything needed reception worst thing ever happen hotel sells whole robot experience felt let add watered soap robes room also among things really started question money spent experience sure unfortunately awful means room improvement beds however comfortable least got good nights sleep every night main thing guess,3,1,overpriced based experiencepartner feel overpaid visit starters robots entire night stay collect everything needed reception worst thing ever happen hotel sells whole robot experience felt let add watered soap robes room also among things really started question money spent experience sure unfortunately awful means room improvement beds however comfortable least got good nights sleep every night main thing guess,"{'neg': 0.13, 'neu': 0.712, 'pos': 0.158, 'compound': 0.25}",0.25,2
pretty decent,location wise good nearby shopping malls sure housekeeping done room eventhough sign overall good stay come short trips staffs helpful friendly though,4,2,pretty decentlocation wise good nearby shopping malls sure housekeeping done room eventhough sign overall good stay come short trips staffs helpful friendly though,"{'neg': 0.0, 'neu': 0.44, 'pos': 0.56, 'compound': 0.9607}",0.9607,2
perfect location pleasant stay,perfect location clean neat room big got everything u need also want highlight technical issue cancelling duplicated bookings director understood issue quickly effectively communicating relevant customer service resolved issue promptly impressed efficiency see yotel pleasant stay,5,2,perfect location pleasant stayperfect location clean neat room big got everything u need also want highlight technical issue cancelling duplicated bookings director understood issue quickly effectively communicating relevant customer service resolved issue promptly impressed efficiency see yotel pleasant stay,"{'neg': 0.031, 'neu': 0.451, 'pos': 0.518, 'compound': 0.9779}",0.9779,2
