Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
Loved our stay here. Gorgeous room and great location and breakfast,Can't fault this hotel. Was a little worried about some of the reviews and also knowing this is an older hotel but was pleasantly surprised to find it's been renovated and everything about it from our experience was great!  Positives: - Amazing view! - Great location! - Large buffet breakfast with heaps of options.  Negatives. - Like all of Singapores 5 star hotels it's pricey but on the lower end I think?  Would definitely recommend to stay here and book a room with included breakfast.,50,Sep-22,Undisclosed,104,97,Carlton
"Nice hotel, some confusion about payment","The hotel is very nice and in.a convenient location in central Singapore.  The breakfast buffet is good, but some variety would have been good for a multinight stay.  Internet was stable.  I had some problems with my advance payment, but this was taken care of.  Pool area is nice, but closes early.",40,Aug-22,Travelled on business,43,52,Carlton
Very average experience,"I recently stayed at the Carlton Hotel for 5 nights for a business trip and it was a bit of a mixed bag. Whilst the hotel and room is quite nice my main issue was with the staff who in my opinion failed to deliver.   During check in, the staff did not greet me nor did they crack a smile during the whole process. When I asked about the breakfast timings I was basically cut off and told that this would be explained to me when he was done. Not a great start to my stay.   Even worse was the check out as I had asked for a late check-out the day before and the lady confirmed that I could leave at 3PM. The next day my room key did not work when I came back from a meeting at around 1PM and when I approached the reception I was very rudely told (by Yogesh I think his name was) that I…",30,Aug-22,Travelled on business,157,211,Carlton
Great location,We stayed here for five nights and it was a great choice. The hotel is perfectly located to discover the city.We had a room at the 14 th floor (prime room) and we had a wonderful city view. Breakfast was very good ( if they could add pancakes every day it would be great!!) The pool was the only thing that we didn’t like but this is totally personal All in all we had a great stay and would go back again,50,Jul-22,Undisclosed,45,52,Carlton
bad service and housekeeping,"sustained a deep cut due to a sharp edge on the weighing machine in my room toilet. called for room service to address the matter and get first aid. manager and staff did not apologise at all. NO follow ups were made after as well.  instead, the manager took away the weighing machine and claim he will do further investigation. what investigation may i ask? to do DNA test on the sharp edge and check if i was lying? i was already bleeding profusely and my blood wasn’t stopping.  some amenities were dirty and chapped, unless ur trying to get ur kids injured and receive unprofessional services after, do not recommend especially if you have kids.   during my stay after the accident, a decent follow up and apology would have been appreciated. however, NOTHING was done.",10,Aug-22,Travelled as a couple,1,0,Carlton
Location location location,"An agency booked the hotel for me and I didn’t expect anything other than just a business hotel.  On arrival I realized I can cross the street to have my first Singapore Sling at the Raffles Hotel, and only one block away from the wedding scene church location  in Crazy Rich Asians. Food courts and restaurants surround the Carlton, so I didn’t get to experience food much inside Carlton other than the included breakfast. Too bad breakfast starts at 7 am and for a few days I wish it could have started at 6 or 6:30 am when I had to be picked up early. The Carlton is highly centrally located, clean, modern, and the staff is exceedingly polite and friendly. Though there are fancier hotels in Singapore, like the W, Mandarin Oriental, and the legendary MBS (all at 2 or 3 times the…",50,Jul-22,Travelled on business,2,4,Carlton
Excellent Hotel,This was an excellent hotel. Staff were very friendly and professional. The room was very comfortable and clean as was the bed. Great breakfast varied menu. The Gym and pool very good facilities. Location brilliant,50,Apr-22,Travelled as a couple,37,7,Carlton
Good but not great,"Rooms are large and clean and in-house foods are yummy especially ""Seafood Hor fun"". The location was amazing as well, being right next to City Hall MRT, and walking distance from multiple malls. Wifi had good connectivity.  Disliked · breakfast choices, there were not many choices and they were always the same, for s$40 breakfast not worth. The reception staff needs to be polite and welcoming and not show a straight face. the bed was not comfy. I stayed with my wife and 4 years old toddler it was not king size, not a large queen was some in-between. and as we requested a way ahead two double beds and it was in a different floor so they could have changed all 3 rooms but they were not so helpful. though the overall stay was okay but not great. So next time I will prefer to stay…",30,Jul-22,Undisclosed,73,59,Carlton
Quite good,"Good location Singapore is full of hotels like this,and it is hard to tell them apart. Good location 20 min to orchard road  Close to subway. Pool, although it could do with a reno Rooms are large and clean So overall quite good hotel.popular with the airlines",40,Jul-22,Travelled as a couple,310,174,Carlton
Loveliest stay!,"Had my anniversary staycation in the executive suite! Room was beautifully furnished, comfortable & clean. Location was amazing as well, being right next to City Hall MRT, and walking distance from multiple malls. Kudos to the team, who went above and beyond to make our stay a pleasant one. Loved our stay, will definitely be back 😊",50,Jul-22,Travelled as a couple,1,0,Carlton
Elegant Hotel,"I am a regular customer to Carlton hotel Singapore, they always maintain the high standard but my recent stay has showed they had dropped a bit in the cleanliness standard. The bottom of the shower glass door and bathroom seals in my room were very moldy, the cleaner need to use bleach to clean them.  My other complaint as  usual as other customers were the breakfast choices, there were not many choices and they were always the same, fried noodle everyday, after staying the third days my family and I had decided to skip the prepaid breakfast.    the last but not the least, the reception staff needs to be polite and welcoming not showing a straight face.",40,Jul-22,Undisclosed,17,35,Carlton
3 star hotel room with 5 star hotel price..,The room is like a 2 or 3 star hotel…it’s very dark inside with no view at all. The water temperature is very unstable. Sometimes it’s very cold and sometimes it’s very hot. There are ants in the room. Definitely not recommending this hotel as it is not cheap at all. We have changed to another hotel in Singapore with a lower price but what we get is much better. The only good thing about Carlton is that there’s screen mirroring in the tv so that you can watch Netflix and YouTube there.,10,Jul-22,Travelled as a couple,2,0,Carlton
Executive room facing buildings…,"I booked a night stay for executive room, I booked via Traveloka and the price states that Executive rooms are more expensive than Premier room so I was expecting a room with a nice MbS as seen on the website. Upon check-in, I was surprised that our room’s view was buildings and buildings. I was so disappointed as I booked the room for birthday celebration and checked with the reception who told me the better room is Premier room. This happened to be long weekend and they insisted that premier rooms are full.  In room dining service and room service requesting for extra blankets and pillows were good and fast! Location is very good as it’s just opposite Raffles City shopping centre but I will not visit again to stay in a room facing buildings. Pool is very small and can forget…",20,Jul-22,Travelled with family,99,59,Carlton
Premium Staycation ,"I have stayed in this hotel before and recently had a chance to do a Staycation once again  Check in was quick n fast with the normal checks  Room was given on a high floor with a great view of the Marina area   Room was clean n comfortable,  aircon was working well and Wifi had good connectivity   Bathroom was spotless clean as well, also with a look thru window towards the room",50,Jun-22,Travelled with family,197,81,Carlton
Ok hotel but missed the details,"Stayed for three nights at the start of my honeymoon. Hotel was fine in the whole, good location and very clean with COVID precautions. Although they were aware of our honeymoon, they never acknowledged it at all ☹️ There was a water leak on the carpet which we informed the staff about, but they never responded with a reason or change of room. As a westerner, it felt like the staff were only interested in their Asian clientele. I would choose a different hotel next time I visit.",30,Jun-22,Travelled as a couple,3,0,Carlton
Fantastic hotel in a great location,"Fantastic location and close to Raffles City shops, food court and the MRT. Rooms are clean, modern and well maintained. Housekeeping were happy to provide extra towels and ice. Great staff at the Carlton all very friendly and happy to assist us.  What was outstanding for us was on our first day at the hotel we took a taxi to Makan Sutra Gluttons Bay for dinner I left my wallet behind in the taxi. All I could remember was the driver was Indian, I didn't know the taxi company or noticed his name. I took a chance by ringing the Carlton concierge and explained about my lost wallet. Victor the concierge was awesome he went out of his way to review the security cameras to retrieve the taxi company and the license plate. He rang the cab company, they traced who the driver was and rang…",50,Jun-22,Undisclosed,20,2,Carlton
two night layover,"As a member of Accor, IHG, Marroit & Hilton, this was not my choice. But travelling with my parents and they have stayed here numerous times and wished to do so again. For them close to church, MTR and Raffles City plaza. Check in and out is smooth despite a lot of other people doing the same. A lot of airlines including BA use this hotel.  Dont get stung by the buffet price like we did. We wanted someting quick and decided to try the hotel buffet. We were not told upon entering that it was a special seafood night and the cost $118 per person not the usual $35 per head. After a long flight, busy day and being with my parents, we definately needed a drink. NO BAR. It is a good hotel, but unlike my parents, not what I prefer in accomodation",30,Jun-22,Undisclosed,27,47,Carlton
Good location. Ask for newer rooms.,"Great location. Walking distance to Bugis Junction and plenty of options for food nearby at CHIJMES. Good service & helpful staff. I think my room is newer as I also go to my friend's room on the other wing and it's a bit outdated. So I recommend to ask for newer room. Breakfast was ok with variety for everyone, from asian food to western options.",40,Jun-22,Travelled on business,59,36,Carlton
Good experience,"Singapore is clean and safety country.Room is first class and good location.a lot shopping and restaurants nearly.highly recommended !!!!!! Best experience for us,will plan to arrange next trip again .",50,Jun-22,Travelled with friends,3,0,Carlton
Standard hotel with convenience location in the city center,"Highlights are convenience location near city hall, Raffles shopping area, some walks to Suntec ,Bugis and MRT Raffles city. Pick a big higher room like Premier room to get standard comfort room. However, the decoration is just alright & breakfast is too crowded.",40,Jun-22,Travelled on business,1862,427,Carlton
Good hotel to stay,"Thé staff was very attentive to guest needs. The hotel facilities are good, the room is spacious, clean and like new. Hotel is located next to MRT, food street and a shopping area. Fits the bill perfectly. Highly recmment to tourist or business traveler to Singapore. ",50,May-22,Travelled with friends,2,0,Carlton
Not Recommended,"We stayed here for 4 nights during the Eid holiday. On a positive notes, room was clean and spacious, Housekeeping was quick abd efficient, the location is fantastic for tourists. However, the service at the Front Desk was incredibly rude and I failed to express with words how upset I was upon check in. I left a feedback on the first night itself, only to be contacted by the Duty Manager on my 3rd day staying. He called to extend his apologies but then no action or service recovery was rendered. I saw other guests who checked in received such fabulous service with politeness, I wonder why it was not extended to me during check in?",10,May-22,Travelled as a couple,146,54,Carlton
Good stay,"Check in by Yoga,He is very friendly,brief me in detail.He always smile.👍👍👍👍  Room was Ok ,Found a rubberband at the carpet near the bed.The bathroom is abit cramp  The restaurant food is nice and spacious  Overall stay is ok.will come back again.",40,May-22,Travelled solo,10,0,Carlton
City Staycation,"It was a nice staycation at Carlton hotel as the crowd was not as packed compared to the peak season. Checking in and out was a breeze with minimal waiting time. Hotel guests were mostly tourists and business travellers. The room was spacious, clean and toiletries were sufficient. Walking distance to shopping malls and various restaurants was a stone’s throw away. Buffet breakfast was great with a variety of choices. Parking facilities is situated at the hotel lobby with much convenience.",50,Apr-22,Travelled as a couple,46,16,Carlton
Unpleasant check-in makes an unpleasant staycay,"Front desk experience set the staycay mood.  Check-in experience was unpleasant. Staff received me without a smile (can tell from the eyes under the mask). Requested for a higher floor room and was assigned to 11th floor. Power slot in that room was faulty. Went back down to same staff. No apologies rendered for the inconvenience. Was then assigned to another room in Level 12. So apparently, there were rooms available in higher floors but staff didn’t do her best to assign it to me in the 1st instance.   Rooms have a strong musty smell.  Bathroom is more impressive than the main area in premier room. Volume in bathroom is spolit. Toiletries were in-house brand n shower gel is lumpy. No bath salt was provided even though selling point was the see through tub from the bed.  …",30,Apr-22,Travelled with family,142,104,Carlton
Excellent pastries & service @Tuxedo!  :),Have been dropping in @ Tuxedo for the last few months and got to say the pastries (& coffee & teas) and service (Wan Ting) are +++ in spite of the 2 years lockdowns and restrictions. This is definitely 1 of our regular joints to relax and chill with friends.  :),50,Mar-22,Travelled with friends,1,0,Carlton
Carlton Hotel lives up to its name. Wonderful stay. Will return!,"Definitely 5 stars. I am a frequent guest of Carlton Hotel and each stay never ever fail to impress me.   5 stars service. All the staff whom I have met are very courteous and helpful. I would like to specially thank the manager Adrian Teo who assisted me during my check-in. Checking in was a breeze and Adrian made me feel very welcome with his top-notch service.   5 stars for the room. I booked the Premier room which comes with a bathtub and a rain shower. Cleanliness was at its best, extremely well-maintained and nicely renovated with trendy marble look-alike bathroom wall tiles.   There is also a large work desk for me to do my work and attend my zoom meetings. Another plus point is that the room is very well-lit, even comes with a table lamp so that my eyes won't get…",50,Mar-22,Undisclosed,1,0,Carlton
Apalling Service,"I made a reservation for a business trip and unfortunately had to miss my flight because of covid pass rules changing all the time. I emailed them multiple times to request a change of dates but they did not have the courtesy to even respond leaving me in a complete limbo. i still dont know if i still have a room or will get my money back if i dont have the room.    As a business traveller, i find this attitude totally disgusting.",10,Mar-22,Travelled on business,1,0,Carlton
Long hour of waiting to check in.,"I arrive early at 12ish to check in early or to avoid queue. The staff got me to register and told me that they will call me if they have a room. Not only he didn’t call, we have to re queue for an hour to get our keys. I a prowl of 3 hours, no one bother to honour the promise to call me when there’s room. We came back on time and queue. Carlton literally took one hour away from paid time. We are supposed to check in at 3pm, and at 4pm we are still queuing. Standing for an hour. This is not the first time you have handled crowd.who is going to compensated the one hour of waiting, standing and the promise of call back. Very disappointing to be ignore like that. Bad experience started even before the hotel stay. Horrendous!",10,Mar-22,Travelled with family,4,2,Carlton
great staycay with friends,"Great place to staycay with friends. They didnt have connecting rooms but they gave us rooms side by side, the room was really big and spacious, there was a seating by the window, a sofa chair, a desk, chair plus extra space to put luggage. One bad thing was the air conditioning wasnt that cold so we had to set it pretty low but after that it was ok. Check in was really smooth! will definitely stay here again",50,Mar-22,Travelled with friends,153,79,Carlton
Ideal location.,"The hotel is strategically located. I stayed at the Premier Room which overlooked Raffles Hotel’s swimming pool. The room was spacious and clean but the decor may be a little dated. Also, the room setting is rather dark. It seems to be poorly lit. Breakfast at The Mosaic was alright. To conclude, nothing really bad but nothing exceptional either",30,Oct-21,Undisclosed,31,15,Carlton
Comfortable stay,Its is comfortable stay at this hotel and I really love it. Location is great. Breakfast is good. Just wanna say comment is the hotel toothpaste expired? Its indicates 20210605? If is expired I don't wish the customers to use it. Please take a look at this matter.  Thank You.,40,Feb-22,Travelled with family,1,0,Carlton
Carlton Hotel Singapore,"Nice hotel well fitted out and comfortable rooms. Great location for shopping and access to other parts of the city via bus, taxi or MTR. Staff were exceptionally friendly and courteous. Nothing was too much to do and they were always smiling and ready with a greeting. Great coffee shop, Tuxedo and restaurant Wah Lok. Breakfast was good more of a fixed set menu's but under covid conditions much better than I expected. Again staff excellent. Covid rules followed to letter and our arrival arrangements about Covid were understood by staff and well explained in a very polite  manner. Hope to return again when all the Hotels facilities are once agin in operation.",50,Jan-22,Undisclosed,5561,340,Carlton
AWESOME STAY,"Upon check in, the frontdesk officer, Ben offered us a complimentary upgrade to our room as part of our hotel staycation as newleyweds and allowed us to have late checkout. We felt really happy with the warm hospitality during our stay. Will definitely recommend Carlton to our family and friends. 😊👍🏻 Overall a very good experience. One of the best hotel to stay at in Singapore.",50,Jan-22,Travelled as a couple,5,4,Carlton
"Good, could have been better",Stayed 3D2N here. Good to have smoking rooms especially since i am a smoker. Hotel was clean and the right size. My only problem was there were no dressing rooms at the swimming pool vicinity. My pool time was also disturbed by some youths who were monkeying around in the main pool with their ball game and splashing water everywhere. Would have helped if hotel staff keeps an eye once in a while.,30,Jan-22,Travelled with family,65,10,Carlton
Good place for a solo staycation,"stayed at the carlton hotel for a night over the past weekend at room 1380. the place is great for those who are staying solo. room is cosy and comfortable enough. the only downsides of my stay are that some of the gym equipment were not available for usage and that the bathtub was a bit narrow for me to lie down.  nevertheless, am thankful and appreciative that i got upgraded from a deluxe to a premier room. thanks to dian for checking me in and the gym staffs on shift on 18th dec afternoon and 19th dec morning for facilitating my use of the gym (apologies as i didn't get your names). breakfast was alright and express check-in was seamless.",40,Dec-21,Undisclosed,4,0,Carlton
First Staycation,I had my very first staycation at Carlton hotel last year during Christmas holidays. Me and my husband stayed at premier room (room no: 1582) with pool view. Our room was at the end corridor which overlooked Bras Basah. Chek-in time was staggered so we got to early check in at 12pm which was very good as we heard all hotel check -in start after 2pm. The room was very spacious with king bed and the best part of room was their marbles bathroom with big bathtub.   Overall stayed was pleasant and can’t wait to stay at Carlton in future.,50,Jan-21,Travelled as a couple,1,0,Carlton
Winter City break,"Centrally located hotel which from our experience was fully COVID secure. Check in was quick and we had a nice large room on 14th floor overlooking Raffles. In the distance you could see the bay and the Marina Bay Skypark.  Room well equipped and we had four bottles of water each day. Reception and hotel staff very helpful.  Booked on a b&b basis and breakfast was taken at the Mosaic restaurant.  Although a limited menu of about 5 sets service was good and staff very friendly. I was even taught how to use chopsticks - which is not my normal choice of cutlery. Situated opposite Raffles City, the Chimes and Raffles Hotel there are good transport links  Buses about 50 m from hotel and two MRT stations within 200m. We were asked to send copies of our covid test results to reception,…",50,Nov-21,Travelled as a couple,88,39,Carlton
"Look dim from outside, so does inside.","Front office, not helpful, even small request of late checkout 1pm,not more than that. Sorry hotel full, on week day?? Don't bother ask more. Once inside room, a strong unpleasant smell. Call housekeeping immediately to settle it. Lucky stay 2 nights, if more, think need checkout, because next night still got that smell come out from no where can find. Don't bother to call front desk, because they are like robot, hotel full.. Breakfast at their Cafe, ok and reasonable selection of choice. ",30,Dec-21,Travelled as a couple,412,46,Carlton
2 night stay @Carlton hotel,"Hotel is clean, location is great.   Personally I thought things that may not be as great is - the bathtub. Narrower bathtub was selected for this hotel.   -not so soundproof wall. Can hear neighbour talking at corridor.   Overall is bearable. Just feel sad for the poor bathtub experience :(",40,Nov-21,Travelled solo,25,5,Carlton
Nice hotel overall,Pluses Nice room with a view Hotel staff are friendly and helpful Has a great Chinese restaurant in the hotel that is always full for weekends Convenient location. Across the street from Raffles City  Minuses None really  Did not check out any of the facilities and unable to comment,50,Nov-21,Travelled with friends,209,76,Carlton
Am being generous with the 2 stars,"Positives: - Room was clean albeit tired-looking - Bathroom is beautiful. Not sure if they renovated it recently  - Big sized bathtub - Early check-in  Negatives: - Service is the worst I’ve experienced in any Singapore hotel.  - Right from the start at check-in we knew we were gonna be continuously disappointed. We had the quietest check-in with Adrian who didn’t even greet us or ask us for our ICs. We just stood there staring at him with zero conversation or personalisation. He did not even go through the reg card with us just simply asked us to sign at the bottom. Didn’t tell us what room we booked for, how many nights or any safety measures. Hello, Covid??? The only words that came out of him was “Your room is ___” when he handed us the keys. Full stop. We had to ask him so…",20,Oct-21,Travelled as a couple,163,126,Carlton
SHN stay was poorly managed by Carlton hotel,"I am currently serving my SHN at Carlton hotel with my husband and unfortunately the experience has been really bad for us. The food service especially is the first, followed by housekeeping needs.  The day we arrived, we checked in by 6am and were told that breakfast should be delivered between 8-10am. after a long wait till 1030am we called the reception to check, and then they delivered one set of breakfast around 1045am, while there were two of us. Lunch again was served for one and we had to call back for the second.  There were multiple days when breakfast and lunch were delayed. We also requested for the menu at least 5 times since Day 2 and each time told they will 'inform the food team' to send to us, but eventually we only got the menu shared on Day 11. It made it so…",10,Aug-21,Undisclosed,1,2,Carlton
Terrible Stay,"For its name, i thought I would experience better but no. Worst. First of all, when I booked this hotel, i had chosen a CITY VIEW. Instead, they gave me a view of all the OTHER ROOMS and their NOT IMPRESSIVE SWIMMING POOL. Then i called and asked, they said , its subject to availability and that they are full. I do not know that if you selected city view, they still give u rubbish view. Of all the hotel staycation I hve been too. This is just as lousy!   NOT RECOMMENDED!",10,Sep-21,Travelled with family,67,62,Carlton
Excellent service,"Stayed here for our honeymoon staycation and did not regret! Rooms are clean, spacious, the housekeeping lady were very nice and friendly as well! Would like to thank Ms Dian for our smooth check in and assistance with new key card when the existing one couldn't work. We would definitely come back here again! ",50,Aug-21,Travelled as a couple,22,23,Carlton
Good stay,"Came for a staycay at Carlton for the hub’s birthday.  Check in was a breeze and we got a room facing Bras Basah.. so was glad the reception staff are very helpful to help us change a room and got us a Suntec City view instead.   Carlton is a stone throw away from Raffles City and I am glad I have ordered a cake collection there, as the hotel staff has forgotten/ came when the DND button was on/ because we had a change of room, to deliver a complimentary cake as mentioned in the email.   We ordered a seafood pizza for in room supper dining and told them we will be paying by card, however the staff came up without a portable card terminal, and took my husband’s card away for a good 10mins..   The room itself is comfortable and cosy and we all had a good rest. It’s really a…",40,Aug-21,Travelled with family,164,48,Carlton
Terrible service from a DUTY MANAGER - Ben KUAN,"I arrived at 1205pm for an early check in and finished the check in around 120pm. This was after calling the hotel over the last couple of days to check on what I need to do so I can make my stay pleasurable.   I was attended to by the Duty Manager Ben Kuan (I didn't know he was a duty manager at that point) There was another guy, who had cleared another customer and was serving the one in front of me. Ben had unfortunately taken a longer time to serve his customer.   After showing him my booking, he asked for my NRIC (cos I am Singaporean, so we don't need to produce our passport), which I showed a soft copy to him. He typed something then asked for the physical NRIC, which I told him I didn't have it. And that is when the nightmare started.   He started to nag at me that I…",10,Aug-21,Undisclosed,1,2,Carlton
Great service recovery effort!,"My first visit to the property wasn't so splendid, but the team at Carlton hotel attempted a recovery and that put my faith back into the hotel. This time, I can absolutely feel the 'premium' that they tout themselves to be. The room given to me #1777 had an awesome view of the City and a nice size tub.",40,Aug-21,Undisclosed,28,18,Carlton
"Great location, okay service","Stayed here from Friday to Saturday. When my car arrived at the lobby, nobody came to help with our bags. Service upon arrival isn’t that great. Check in is quite strict, they require IC of all guests. Toilet has no bidet. Location just opposite Raffles City.",40,Aug-21,Travelled with family,40,14,Carlton
A relaxing break,"Got a room upgrade and was pleased to be assigned to a room facing Victoria Street. Chijmes looked really pretty at night. Apart from the room cabinets which seemed a little worn out, the room was cosy and the bed extremely comfortable. I did not utilise the pool, which was completely empty as I stayed on weekdays. Breakfast was a huge portion and the coffee was good (I am quite fussy about my coffee). Fast and efficient service at the front desk during check in and out. Overall a good and relaxing break for me.",40,Jul-21,Undisclosed,450,122,Carlton
Would I return? Maybe,"Friendly reception staff but the same can’t be said for the room service staff. Room is generally clean however is starting to show it’s age. Compared to a equivalent hotel, COVID amenities and service are lacking as only sanitising wipes are provided however there’s no extra masks or hand sanitisers available in room. Convenient location and nice food nevertheless.",40,Jun-21,Travelled solo,2,0,Carlton
"3 stars for facilities & cleanliness, service...0.5?","Chose this hotel for a staycation. However, service received made us feel like criminals!  Firstly, when we walked into the hotel, there was no staff at the tracetogether check in counter. A staff then came over to ask us what were we there for and said ""staycation?"" in a yet-another-staycationer-vibe way.   Then, we made a pool booking for 4pm. When we went out of the lift at the pool level and walked towards the pool, a staff saw us but did not say anything. We then saw that there were signs saying to enter the pool via the gym area. We thought there would be staff handing out towels or verifying our booking near the gym area. When we tapped our card into the gym, there did not seem to have anyone inside. We understand that gym facilities are not available thus we thought that…",30,Jul-21,Travelled with family,23,38,Carlton
Good Staycation fo Distressed,"Stayed at Carlton Hotel Singapore for 2 nights using the sgvoucher. The check-in was abit slow as they were full due to the school holiday. Would like to compliment Mr Frederick from the frontdesk. Eventhough there is a strict regulation on “no inter-miggling between rooms, he made an effort to understand my situation in regards to staying with my senior citizens parents and their needs for assistance on their medication. He was kind enough to put our rooms near to each other for emergency purposes.   Despite the long check in process but we did felt welcomed and enjoyed our staycation. The rooms are nice and it comes with bathtub. Easy to find food as Raffles City is just a stone’s throw from the hotel. Check out was fast as we decided to use the express check-out. Overall, it…",50,Jun-21,Travelled with family,529,83,Carlton
Birthday staycation,"Had an extremely pleasant stay at Carlton. Our check out was extended from 12pm to 2pm and everything was clean and fuss free.   Firstly, we didn’t want to trouble the housekeeping staff to clean our room as we were checking out the next day but she told us that she will help us clear rubbish and refill some essential stuff. She even help us disinfect our room!   The front office staff was super friendly and nice. We actually forgot to submit our breakfast preference by 6pm and when we told him he said its okay and helped us settle everything!  Lastly, special mention to Ms Jacqueline Tan, who helped arrange a surprise for my gf with a cake and wine to be delivered to our room. She really went beyond our expectation and i’m incredibly impressed.   Thank you for the awesome and…",50,Jul-21,Travelled as a couple,1,0,Carlton
Affordable! But still has lots to improve.,"I always believe the guests’ experience starts from the front desk. The way the staff interacts with the guest ignites the whole impression of the hotel, or the hotel brand if you may.  Everything was smooth, something you would expect from a luxury branded hotel. I’ll give credit where credit is due, my impression of the hotel is always amazing. I was served by a male indian staff, he was everything you could ask for in a hotelier; quick and efficient. I’m sorry! I’m really not good with names. I’m sure his name is Payabarthi or somewhere along that line. Send me an email if you are reading this! You are amazing.  I wrote a full review of the hotel on my blog, the link is on my TripAdvisor profile. Feel free to read!",30,Jun-21,Travelled on business,40,4,Carlton
Great location,Staycation. Fantastic location.  Check in only 5 mins. Complimentary room upgrade and early check in. Free car park. Very polite staff. Breakfast set was made even better by helpful and attentive staff,40,Jul-21,Travelled as a couple,13,29,Carlton
